Recommended Diet,Calories (kcal),Protein (g),Carbs (g),Fat (g),Health Benefits,Suitable Age Group,Meal Type,BMI,BMI Category
"Cheese, pimento, pasteurized process",375,27,36,5,General nutrition,All ages,Other,21.7,Normal weight
"Lamb, raw, choice, trimmed to 1/4"" fat, separable lean only, loin, domestic",143,41,79,15,General nutrition,All ages,Other,18.5,Underweight
"Cereals ready-to-eat, SPECIAL K Vanilla Almond, KELLOGG'S",366,36,66,10,"Sustained energy, Digestive health, Blood sugar control",Adults,Breakfast,21.7,Normal weight
"Turkey Pot Pie, frozen entree",176,6,9,27,General nutrition,Old age,Other,18.5,Underweight
"Nuts, without salt added, dry roasted, hazelnuts or filberts",646,20,20,10,"Heart health, Weight management, Brain function",Children,Snack,30.0,Obesity
"Cereals ready-to-eat, CHOCO ZUCARITAS, KELLOGG'S FROSTED FLAKES",387,17,44,26,"Sustained energy, Digestive health, Blood sugar control",Children,Breakfast,21.7,Normal weight
"Chicken, raw, giblets, roasting",127,26,78,10,General nutrition,Old age,Dinner,18.5,Underweight
Tubaani (Beans and Plantain Cake),180,8,20,10,High protein,good source of iron,Other,18.5,Underweight
"Chicken, roasted, cooked, meat and skin, broilers or fryers",239,41,31,14,General nutrition,Children,Dinner,21.7,Normal weight
"Turnip greens, no salt added, canned",19,20,35,2,General nutrition,Old age,Other,18.5,Underweight
"Yogurt parfait, with fruit and granola, lowfat",84,32,46,6,General nutrition,Old age,Snack,18.5,Underweight
"Beef, broiled, cooked, USDA select, trimmed to 0"" fat, separable lean and fat, porterhouse steak, short loin",267,45,93,14,General nutrition,All ages,Dinner,21.7,Normal weight
"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, foreshank, frozen, imported, New Zealand",223,4,2,22,General nutrition,Old age,Other,21.7,Normal weight
"Sandwich spread, unspecified oils, regular, with chopped pickle",389,23,88,19,General nutrition,All ages,Lunch,21.7,Normal weight
"Chicken, braised, cooked, meat only, drumstick, dark meat, broilers or fryers",149,47,77,15,General nutrition,Old age,Dinner,18.5,Underweight
"Beef, broiled, cooked, choice, trimmed to 0"" fat, separable lean and fat, steak, top sirloin",219,36,72,2,General nutrition,Adults,Dinner,21.7,Normal weight
"Beef, pan-broiled, cooked, patty, 90% lean meat / 10% fat, ground",204,27,94,26,General nutrition,Old age,Dinner,21.7,Normal weight
"Lamb, fast roasted, cooked, separable lean and fat, rack - partly frenched, imported, New Zealand",253,28,96,21,General nutrition,All ages,Other,21.7,Normal weight
"Fish, dried (Alaska Native), whitefish",371,22,68,1,"Brain development, Joint health, Mood improvement",Adults,Dinner,21.7,Normal weight
"Chicken, raw, and giblets and neck, meat and skin, stewing",251,8,84,25,General nutrition,Children,Dinner,21.7,Normal weight
"POPEYES, analyzed 2006, Mild Chicken Strips",271,29,53,3,General nutrition,Adults,Dinner,21.7,Normal weight
"Chicken, raw, meat and skin and giblets and neck, broilers or fryers",213,41,47,5,General nutrition,All ages,Dinner,21.7,Normal weight
"Pork, unheated, canned, extra lean (approximately 4% fat), ham, cured",120,32,53,10,General nutrition,Old age,Other,18.5,Underweight
"Cabbage, kimchi",15,15,58,3,General nutrition,Old age,Other,18.5,Underweight
"Flan, prepared with whole milk, dry mix, caramel custard",113,11,33,25,General nutrition,Old age,Other,18.5,Underweight
"Game meat, raw, wild, boar",122,16,20,28,General nutrition,Adults,Dinner,18.5,Underweight
"Beef, raw, select, trimmed to 0"" fat, separable lean only, outside skirt, boneless, plate steak",198,41,92,17,General nutrition,Children,Dinner,18.5,Underweight
"Game meat, roasted, cooked, raccoon",255,7,53,12,General nutrition,Children,Dinner,21.7,Normal weight
"POPEYES, meat and skin with breading, Drumstick, Mild, Fried Chicken",293,28,27,8,General nutrition,Adults,Dinner,21.7,Normal weight
"Beans, without salt, boiled, cooked, mature seeds, white",139,33,70,6,General nutrition,Children,Other,18.5,Underweight
"SCHAR, Classic White Rolls, Gluten-Free",239,11,59,20,General nutrition,Old age,Other,21.7,Normal weight
"Cereals ready-to-eat, Pumpkin Granola, Organic FLAX PLUS, NATURE'S PATH",467,45,79,17,"Sustained energy, Digestive health, Blood sugar control",All ages,Breakfast,27.45,Overweight
"Beef, raw, 70% lean meat / 30% fat, ground",332,12,26,10,General nutrition,Children,Dinner,21.7,Normal weight
"Lamb, cooked, separable fat, fresh, imported, Australian",639,12,75,5,General nutrition,Adults,Other,30.0,Obesity
"KELLOGG'S, Frosted Wild Strawberry Toaster Pastries, POP-TARTS",391,15,81,29,General nutrition,Children,Breakfast,21.7,Normal weight
"Rye flour, medium",349,2,85,26,General nutrition,Adults,Other,21.7,Normal weight
"Chicken, breast meat and skin, BBQ, rotisserie, broiler",175,0,54,13,General nutrition,Children,Dinner,18.5,Underweight
"Veal, roasted, cooked, separable lean only, whole (arm and blade), shoulder",170,1,4,7,General nutrition,All ages,Other,18.5,Underweight
"Lamb, braised, cooked, trimmed to 1/8"" fat, separable lean and fat, whole (arm and blade), shoulder, frozen, imported, New Zealand",342,10,50,4,General nutrition,All ages,Other,21.7,Normal weight
"Vitasoy USA Organic Nasoya Sprouted, Tofu Plus Super Firm",115,42,98,28,General nutrition,Children,Other,18.5,Underweight
"Puddings, regular, dry mix, vanilla",379,27,57,24,General nutrition,Children,Other,21.7,Normal weight
"Beef, raw, select, trimmed to 0"" fat, separable lean only, America's Beef Roast, boneless, chuck eye roast",133,28,97,24,General nutrition,All ages,Other,18.5,Underweight
"Turkey, smoked, low fat, and beef sausage, pork",101,49,71,14,General nutrition,Adults,Other,18.5,Underweight
"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, tenderloin roast, loin",177,31,8,19,General nutrition,Children,Other,18.5,Underweight
"Pork, unheated, separable lean only, bone-in, slice, ham, cured",130,6,85,26,General nutrition,Adults,Other,18.5,Underweight
"Cookies, chocolate wafer, gluten-free",541,33,16,22,General nutrition,Children,Other,27.45,Overweight
"Bread, somiviki (Hopi), blue corn",186,13,31,14,General nutrition,Adults,Other,18.5,Underweight
"Snacks, made with enriched masa flour, nacho-flavor, tortilla chips",498,2,99,12,General nutrition,All ages,Snack,27.45,Overweight
"Crackers, seasoned, wafers, rye",381,48,82,2,General nutrition,Old age,Other,21.7,Normal weight
"Snacks, chopped and formed, beef jerky",410,29,11,13,General nutrition,Children,Snack,27.45,Overweight
"Fish, granular, black and red, caviar",264,0,43,27,"Brain development, Joint health, Mood improvement",Old age,Dinner,21.7,Normal weight
"Pork, broiled, cooked, separable lean and fat, boneless, petite tender, shoulder",155,3,67,16,General nutrition,Old age,Other,18.5,Underweight
"SUBWAY, turkey breast sub on white bread with lettuce and tomato",147,33,62,26,General nutrition,Adults,Other,18.5,Underweight
"Soup, condensed, canned, split with ham, pea",141,6,40,4,General nutrition,Adults,Lunch,18.5,Underweight
"Beef, raw, ribs prepared, imported, New Zealand",146,26,87,5,General nutrition,All ages,Other,18.5,Underweight
"Salad dressing, reduced calorie, french dressing",227,6,91,21,General nutrition,All ages,Lunch,21.7,Normal weight
"Cheese, camembert",300,47,39,10,General nutrition,Old age,Other,21.7,Normal weight
"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean only, composite of trimmed retail cuts",140,48,77,4,General nutrition,All ages,Other,18.5,Underweight
"Pork, raw, with added solution, separable lean only, blade (steaks), (Boston butt), shoulder, fresh",122,8,79,29,General nutrition,Adults,Dinner,18.5,Underweight
"Beef, braised, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, top round, round",238,35,56,16,General nutrition,Children,Other,21.7,Normal weight
"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, whole (shank and sirloin), leg, frozen, imported, New Zealand",201,22,71,28,General nutrition,Children,Other,21.7,Normal weight
"Beef, roasted, cooked, prime, trimmed to 1/8"" fat, separable lean and fat, large end (ribs 6-9), rib",393,7,21,4,General nutrition,All ages,Other,21.7,Normal weight
"Bread, toasted, enriched, raisin",297,45,33,10,General nutrition,Old age,Breakfast,21.7,Normal weight
"Pie, commercially prepared, coconut custard",260,7,40,14,General nutrition,Adults,Other,21.7,Normal weight
"Corn, without salt, drained, boiled, cooked, kernels on cob, frozen, white, sweet",94,16,73,15,General nutrition,Old age,Other,18.5,Underweight
"Doughnuts, sugared or glazed, chocolate, cake-type",417,49,59,9,General nutrition,Children,Snack,27.45,Overweight
"Soup, condensed, canned, chicken gumbo",45,20,16,16,General nutrition,Adults,Lunch,18.5,Underweight
"PEPPERIDGE FARM, Hamburger Buns w/Sesame",280,26,0,12,General nutrition,All ages,Lunch,21.7,Normal weight
"Onion rings, unprepared, frozen, par fried, breaded",258,30,4,5,General nutrition,Old age,Other,21.7,Normal weight
"PEPPERIDGE FARM, Cinnamon Swirl Bread",300,30,6,6,General nutrition,Adults,Other,21.7,Normal weight
"Wheat flour, enriched, cake, white",362,5,59,9,General nutrition,Old age,Other,21.7,Normal weight
"Toaster Pastries, Frosted cherry, KELLOGG'S POP TARTS, KELLOGG",397,48,93,20,General nutrition,Children,Breakfast,21.7,Normal weight
"MOTHER'S, Chocolate Chip Cookies",490,43,12,12,General nutrition,Children,Other,27.45,Overweight
"Candies, Fruit and Creme, STARBURST Fruit Chews, MARS SNACKFOOD US",408,7,14,8,"Antioxidant boost, Immune support, Skin health",Adults,Snack,27.45,Overweight
"Babyfood, strained, bananas with apples and pears, fruit",83,46,9,0,General nutrition,All ages,Snack,18.5,Underweight
"KELLOGG'S, Original, French Toaster Sticks, EGGO",239,18,37,17,General nutrition,Children,Breakfast,21.7,Normal weight
"Cereals ready-to-eat, RALSTON Corn Flakes",357,23,74,26,"Sustained energy, Digestive health, Blood sugar control",Old age,Breakfast,21.7,Normal weight
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean and fat, boneless, top sirloin cap steak, loin",199,33,72,2,General nutrition,All ages,Dinner,18.5,Underweight
"KASHI, Frozen Entree, Chicken Fettuccine, STEAM MEAL",99,37,43,11,General nutrition,Adults,Dinner,18.5,Underweight
"Beef, roasted, cooked, select, trimmed to 0"" fat, separable lean only, bottom round roast, round",169,45,50,13,General nutrition,Adults,Other,18.5,Underweight
"Vegetable oil-butter spread, reduced calorie",465,32,9,22,"Cancer prevention, Eye health, Bone strength",Children,Other,27.45,Overweight
"Fish, raw, tilapia",96,29,47,19,"Brain development, Joint health, Mood improvement",Old age,Dinner,18.5,Underweight
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, Denver Cut, boneless, under blade center steak, chuck",172,2,96,0,General nutrition,All ages,Dinner,18.5,Underweight
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, Denver Cut, boneless, under blade center steak, chuck",236,2,97,7,General nutrition,Children,Dinner,21.7,Normal weight
"Salad dressing, regular, commercial, french dressing",457,5,73,24,General nutrition,All ages,Lunch,27.45,Overweight
"Lamb, broiled, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, loin, domestic",297,44,50,12,General nutrition,Adults,Other,21.7,Normal weight
"KELLOGG'S, Caramel, Pancakes, CINNABON",255,18,96,15,General nutrition,Old age,Breakfast,21.7,Normal weight
"Whale, raw (Alaska Native), meat, beluga",111,37,60,3,General nutrition,Old age,Dinner,18.5,Underweight
"Beef, broiled, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, large end (ribs 6-9), rib",338,43,99,0,General nutrition,Children,Other,21.7,Normal weight
"Beef, raw, select, trimmed to 0"" fat, separable lean only, lip off, boneless, top loin steak, loin",135,43,12,24,General nutrition,All ages,Dinner,18.5,Underweight
"CAMPBELL'S Soup on the Go, Chicken & Stars Soup",23,28,55,20,General nutrition,Adults,Lunch,18.5,Underweight
"Rice, raw, long-grain, brown",367,27,83,1,General nutrition,All ages,Other,21.7,Normal weight
"Beef, broiled, cooked, select, trimmed to 0"" fat, separable lean only, mock tender steak, chuck",157,11,11,9,General nutrition,Adults,Dinner,18.5,Underweight
"Babyfood, toddler, chicken stew, dinner",78,14,66,20,General nutrition,All ages,Dinner,18.5,Underweight
"Peas, unprepared, drained solids, canned, green (includes baby and lesuer types)",68,33,79,17,General nutrition,All ages,Other,18.5,Underweight
"Spices, coriander seed",298,10,93,15,General nutrition,All ages,Other,21.7,Normal weight
"Cereals ready-to-eat, Honey Nut TOASTY O'S, MOM'S BEST",388,45,62,3,"Sustained energy, Digestive health, Blood sugar control",All ages,Breakfast,21.7,Normal weight
"POPEYES, skin and breading removed, meat only, Wing, Mild, Fried Chicken",212,17,29,13,General nutrition,Children,Dinner,21.7,Normal weight
"Beef, raw, separable lean and fat, striploin, imported, New Zealand",252,41,61,18,General nutrition,Children,Other,21.7,Normal weight
"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean and fat, steak, tip center, knuckle, round",162,49,21,10,General nutrition,All ages,Dinner,18.5,Underweight
"Parsnips, raw",75,0,27,28,General nutrition,Children,Other,18.5,Underweight
"Eggs, frozen mixture, scrambled",131,33,33,23,General nutrition,Children,Breakfast,18.5,Underweight
"Margarine-like, with salt, stick, 60% fat, vegetable oil spread",537,37,22,11,General nutrition,Old age,Other,27.45,Overweight
"CAMPBELL'S Soup on the Go, Cheesy Potato with Bacon Flavor Soup",43,20,1,28,General nutrition,Adults,Lunch,18.5,Underweight
"Beef, fast roasted, cooked, separable lean and fat, cube roll, imported, New Zealand",286,42,68,2,General nutrition,Adults,Other,21.7,Normal weight
"Fish, raw, wild, Atlantic, salmon",142,40,86,6,"Brain development, Joint health, Mood improvement",All ages,Dinner,18.5,Underweight
"Fat, chicken",900,41,86,24,General nutrition,Adults,Dinner,30.0,Obesity
"Cereals, dry, Creamy TRULY VANILLA, KASHI GO LEAN Hot Cereal",360,21,33,1,"Sustained energy, Digestive health, Blood sugar control",Adults,Breakfast,21.7,Normal weight
"Chicken, batter, fried, cooked, meat and skin, leg, broilers or fryers",273,42,6,12,General nutrition,Old age,Dinner,21.7,Normal weight
"Fish, dry heat, cooked, mixed species, sturgeon",135,28,27,13,"Brain development, Joint health, Mood improvement",Adults,Dinner,18.5,Underweight
"PREGO Pasta, ready-to-serve, Garlic Supreme Italian Sauce",85,6,79,20,General nutrition,Old age,Dinner,18.5,Underweight
"MORNINGSTAR FARMS Breakfast Sandwich Veggie Scramble & Cheese English Muffin, unprepared, frozen",149,45,14,10,General nutrition,Children,Breakfast,18.5,Underweight
"Babyfood, strained, cherry vanilla pudding, dessert",68,43,69,12,General nutrition,Adults,Other,18.5,Underweight
"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, steak, tip side, knuckle, round",133,45,55,15,General nutrition,Old age,Dinner,18.5,Underweight
"SPAGHETTIOS, Spaghetti in Tomato & Cheese Sauce",80,3,16,2,General nutrition,All ages,Other,18.5,Underweight
"Spinach, solids and liquids, no salt added, canned",19,6,15,27,General nutrition,All ages,Other,18.5,Underweight
"ARCHWAY Home Style Cookies, Coconut Macaroon",460,14,42,11,General nutrition,Adults,Other,27.45,Overweight
"Beef, braised, cooked, select, separable lean and fat, chuck for stew",186,6,46,11,General nutrition,Old age,Other,18.5,Underweight
"SUPPER BAKES MEAL KITS, Savory Pork Chops with herb stuffing (pork chop not included)",181,25,31,16,General nutrition,All ages,Other,18.5,Underweight
"Crackers, with peanut butter filling, sandwich, standard snack-type",494,48,36,25,General nutrition,Old age,Lunch,27.45,Overweight
"Nuts, lightly salted, oil roasted, almonds",607,35,23,25,"Heart health, Weight management, Brain function",All ages,Snack,30.0,Obesity
"Cheese, low sodium, swiss",374,25,16,0,General nutrition,Children,Other,21.7,Normal weight
"Fish, drained solids, canned in oil, european, anchovy",210,8,72,14,"Brain development, Joint health, Mood improvement",Old age,Dinner,21.7,Normal weight
"Cookies, with extra creme filling, chocolate sandwich",497,2,92,18,General nutrition,Old age,Lunch,27.45,Overweight
"Chicken, roasted, cooked, meat only, leg, broilers or fryers",174,37,98,18,General nutrition,Adults,Dinner,18.5,Underweight
"Snacks, wasabi-flavored, roasted, peas",432,20,75,10,General nutrition,All ages,Snack,27.45,Overweight
"Turnip greens, without salt, drained, boiled, cooked, frozen",29,4,88,24,General nutrition,All ages,Other,18.5,Underweight
"Soup, condensed, canned, cream of onion",88,26,40,14,General nutrition,Old age,Lunch,18.5,Underweight
"Pickles, sweet (includes bread and butter pickles), cucumber",91,16,85,2,General nutrition,Children,Other,18.5,Underweight
"Lamb, fast roasted, cooked, separable lean only, boneless, chump, imported, New Zealand",142,27,42,28,General nutrition,Adults,Other,18.5,Underweight
"Snacks, chocolate chip, uncoated, soft, granola bars",418,17,10,1,General nutrition,All ages,Breakfast,27.45,Overweight
"Cereals ready-to-eat, GOLDEN PUFFS, MALT-O-MEAL",370,9,94,12,"Sustained energy, Digestive health, Blood sugar control",Children,Breakfast,21.7,Normal weight
"Onion rings, heated in oven, prepared, frozen, par fried, breaded",276,3,47,10,General nutrition,Children,Other,21.7,Normal weight
"Beans, low sodium, solids and liquid, canned, mature seeds, red, kidney",81,18,74,11,General nutrition,Adults,Other,18.5,Underweight
"Candies, candy bar, soft nougats, peanut butter, milk chocolate, REESE's Fast Break",495,27,30,7,General nutrition,Old age,Snack,27.45,Overweight
"Beef, braised, cooked, pancreas, variety meats and by-products",271,5,9,9,General nutrition,Adults,Dinner,21.7,Normal weight
"Veal, raw, separable lean only, shank",94,7,65,27,General nutrition,All ages,Other,18.5,Underweight
"Lamb, roasted, cooked, choice, trimmed to 1/4"" fat, separable lean and fat, blade, shoulder, domestic",281,39,48,0,General nutrition,Children,Other,21.7,Normal weight
"MORNINGSTAR FARMS Meal Starters Veggie Meatballs, unprepared, frozen",158,19,30,10,"Muscle building, Iron absorption, Zinc boost",Adults,Breakfast,18.5,Underweight
"Cream substitute, light, liquid",71,23,46,2,General nutrition,Children,Other,18.5,Underweight
"Lamb, raw, separable lean and fat, neck chops, imported, New Zealand",231,18,97,10,General nutrition,All ages,Other,21.7,Normal weight
"Infant formula, with ARA and DHA, liquid concentrate, with iron, LIPIL, ENFAMIL, MEAD JOHNSON",131,34,24,15,General nutrition,Adults,Other,18.5,Underweight
"KELLOGG'S, Chocolate Chip, Waffles, EGGO",291,12,65,2,General nutrition,All ages,Breakfast,21.7,Normal weight
"Cream, fat free, half and half",59,36,3,23,General nutrition,All ages,Other,18.5,Underweight
"Butter, with salt, whipped",718,9,35,21,General nutrition,All ages,Other,30.0,Obesity
"Shortening, soybean (partially hydrogenated)-cottonseed (partially hydrogenated), household",884,22,84,11,General nutrition,All ages,Other,30.0,Obesity
"Cream, heavy whipping, fluid",340,15,62,11,General nutrition,All ages,Other,21.7,Normal weight
"Candies, CARAMELLO Candy Bar",462,45,61,15,General nutrition,Children,Snack,27.45,Overweight
"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, ribeye petite roast",178,34,16,12,General nutrition,Old age,Other,18.5,Underweight
"USDA Commodity, heated, frozen, breaded, salmon nuggets",212,37,18,17,General nutrition,Old age,Other,21.7,Normal weight
"Frozen yogurts, flavors other than chocolate",127,48,87,12,General nutrition,Children,Other,18.5,Underweight
"Fish, dry heat, cooked, mixed species, whitefish",172,23,17,29,"Brain development, Joint health, Mood improvement",Old age,Dinner,18.5,Underweight
"Game meat, raw, 1"" steak, separable lean only, top round, bison",122,36,86,19,General nutrition,Adults,Dinner,18.5,Underweight
"Beef, raw, Aust. marble score 9, separable lean and fat, top loin steak/roast, loin, Wagyu, imported, Australian",392,17,63,20,General nutrition,Children,Dinner,21.7,Normal weight
"Millet, raw",378,48,84,15,General nutrition,Adults,Other,21.7,Normal weight
"Peanuts, with salt, oil-roasted, spanish",579,29,79,23,General nutrition,Adults,Snack,27.45,Overweight
"Cereals, dry, quick, white, hominy grits, QUAKER",348,18,45,4,"Sustained energy, Digestive health, Blood sugar control",Adults,Breakfast,21.7,Normal weight
"Infant formula, ready-to-feed, Toddler, GENTLEASE, ENFAGROW, ENFAMIL, MEAD JOHNSON",66,34,3,11,General nutrition,Children,Other,18.5,Underweight
"Fast foods, and tomato on white bread, lettuce, bacon, submarine sandwich",205,27,44,18,General nutrition,Children,Lunch,21.7,Normal weight
"Beverages, D2, B12, vitamins A, fortified with calcium, sweetened, coconut milk",31,42,31,10,General nutrition,Old age,Other,18.5,Underweight
"Nuts, CHOSEN ROASTER, salt added, with peanuts, dry roasted, mixed nuts",632,42,9,27,"Heart health, Weight management, Brain function",All ages,Snack,30.0,Obesity
"SUNSHINE, Parmesan Garlic Crackers, CHEEZ-IT",503,6,78,14,General nutrition,Old age,Other,27.45,Overweight
"Chicken, raw, meat and skin, breast, broilers or fryers",172,15,92,20,General nutrition,Old age,Dinner,18.5,Underweight
"Mung beans, with salt, boiled, cooked, mature seeds",105,18,59,13,General nutrition,All ages,Other,18.5,Underweight
"Babyfood, peas and brown rice",64,22,61,24,General nutrition,All ages,Other,18.5,Underweight
"Margarine-like spread with yogurt, with salt, stick, 70% fat",630,2,28,10,General nutrition,Old age,Other,30.0,Obesity
"MOTHER'S, Macaroon Cookies",552,25,94,27,General nutrition,Adults,Other,27.45,Overweight
"Beef, pan-broiled, cooked, patty, 93% lean meat /7% fat, ground",182,22,86,27,General nutrition,Children,Dinner,18.5,Underweight
"Chicken breast, prepackaged, sliced, rotisserie seasoned, deli",98,21,34,6,General nutrition,Adults,Dinner,18.5,Underweight
"Chicken, stewed, cooked, meat only, light meat, broilers or fryers",159,22,14,0,General nutrition,All ages,Dinner,18.5,Underweight
"Pork, raw, lungs, variety meats and by-products, fresh",85,22,7,6,General nutrition,Children,Dinner,18.5,Underweight
"Emu, raw, full rump",112,17,98,26,General nutrition,Children,Other,18.5,Underweight
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, boneless, mock tender steak, chuck",122,43,20,5,General nutrition,Old age,Dinner,18.5,Underweight
"ARCHWAY Home Style Cookies, Strawberry Filled",400,45,74,18,General nutrition,Old age,Other,27.45,Overweight
"Beef, raw, separable fat, retail cuts",674,45,28,9,General nutrition,Adults,Other,30.0,Obesity
"Spaghetti, cooked, spinach",130,17,9,9,General nutrition,Adults,Other,18.5,Underweight
"Potatoes, whole milk and butter added, home-prepared, mashed",113,31,92,21,General nutrition,Adults,Other,18.5,Underweight
"Lamb, raw, liver, imported, New Zealand",136,16,18,13,General nutrition,Old age,Other,18.5,Underweight
"Cereals ready-to-eat, KELLOGG'S KRAVE Smores",401,19,49,19,"Sustained energy, Digestive health, Blood sugar control",All ages,Breakfast,27.45,Overweight
"Squash, raw, hubbard, winter",40,11,68,12,General nutrition,Adults,Snack,18.5,Underweight
"Lamb, soaked and fried, cooked, brains, imported, New Zealand",154,41,94,10,General nutrition,Old age,Other,18.5,Underweight
"Bread, sweet yeast bread, pan dulce",367,21,76,24,General nutrition,All ages,Other,21.7,Normal weight
"Shortening industrial, lard and vegetable oil",900,19,23,1,General nutrition,Old age,Other,30.0,Obesity
"Chicken, fried, cooked, meat only, back, broilers or fryers",288,8,84,14,General nutrition,Old age,Dinner,21.7,Normal weight
"Yogurt, with low calorie sweetener, lowfat, fruit",105,16,51,4,General nutrition,Children,Snack,18.5,Underweight
"APPLEBEE'S, french fries",290,46,66,19,General nutrition,Adults,Other,21.7,Normal weight
"Candies, BIT-O'-HONEY Candy Chews, NESTLE",375,9,29,28,General nutrition,Adults,Other,21.7,Normal weight
"Cereals ready-to-eat, KELLOGG'S SPECIAL K Red Berries, KELLOGG",358,23,56,11,"Sustained energy, Digestive health, Blood sugar control",Children,Breakfast,21.7,Normal weight
"Pork, roasted, cooked, separable lean and fat, boneless, blade (roasts), loin, fresh",199,42,12,11,General nutrition,Adults,Other,18.5,Underweight
"Bear, raw (Alaska Native), meat, polar",130,35,58,24,General nutrition,Old age,Dinner,18.5,Underweight
"Beef, grilled, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, boneless, top sirloin cap steak, loin",242,20,96,6,General nutrition,Old age,Dinner,21.7,Normal weight
"KEEBLER, Peanut Butter, Magic Middles Fudge Filled Cookies, FUDGE SHOPPE",514,25,36,29,General nutrition,All ages,Other,27.45,Overweight
"KEEBLER, bite-size, Chocolate Chip Grahams, GRIPZ",433,46,11,14,General nutrition,Adults,Other,27.45,Overweight
"KEEBLER, Chocolate Lovers Cookies, CHIPS DELUXE",508,48,33,18,General nutrition,Adults,Snack,27.45,Overweight
"Yogurt, fortified with vitamin D, nonfat, fruit variety",95,22,89,5,General nutrition,All ages,Snack,18.5,Underweight
"Waffles, ready-to-heat, frozen, lowfat, whole wheat",257,10,68,2,General nutrition,Old age,Other,21.7,Normal weight
"Cereals ready-to-eat, POST SELECTS Maple Pecan Crunch",413,5,84,18,"Sustained energy, Digestive health, Blood sugar control",All ages,Breakfast,27.45,Overweight
"Babyfood, junior, macaroni and cheese, dinner",61,7,2,19,General nutrition,Children,Dinner,18.5,Underweight
"Salami, turkey, cooked",172,34,12,20,General nutrition,Old age,Other,18.5,Underweight
"Babyfood, strained, banana with mixed berries",92,40,7,20,General nutrition,Adults,Other,18.5,Underweight
"Nuts, with salt added, with peanuts, oil roasted, mixed nuts",607,42,3,16,"Heart health, Weight management, Brain function",Adults,Snack,30.0,Obesity
"LITTLE CAESARS 14"" Original Round Pepperoni Pizza, Regular Crust",273,1,22,10,General nutrition,All ages,Other,21.7,Normal weight
"Tofu, prepared with calcium sulfate and magnesium chloride (nigari), firm",78,9,10,29,General nutrition,All ages,Other,18.5,Underweight
"Candies, COCOAVIA Chocolate Covered Almonds, MARS SNACKFOOD US",573,4,54,18,General nutrition,All ages,Snack,27.45,Overweight
"Veal, braised, cooked, liver, variety meats and by-products",192,45,61,2,General nutrition,Old age,Dinner,18.5,Underweight
"Bologna, turkey and beef, pork",336,16,32,10,General nutrition,All ages,Other,21.7,Normal weight
"Pigeonpeas, without salt, drained, boiled, cooked, immature seeds",111,30,80,24,General nutrition,Old age,Other,18.5,Underweight
"Fast foods, with corn flour coating (corndog), hotdog",263,44,96,16,General nutrition,All ages,Breakfast,21.7,Normal weight
"KELLOGG'S, Original, SIMPLY EGGO",294,36,46,2,General nutrition,All ages,Breakfast,21.7,Normal weight
"KELLOGG'S, Homestyle, Waffles, EGGO",278,42,16,20,General nutrition,Adults,Breakfast,21.7,Normal weight
"Broccoli, raw, leaves",28,44,49,9,General nutrition,Adults,Other,18.5,Underweight
"Pork, broiled, cooked, boneless, separable lean only, boneless, blade (chops), loin, fresh",169,30,53,21,General nutrition,Old age,Other,18.5,Underweight
"Cookies, regular, dry mix, brownies",434,6,58,12,General nutrition,Children,Other,27.45,Overweight
"SUNSHINE, Duoz Sharp Cheddar Parmesan Crackers, CHEEZ-IT",500,38,76,6,General nutrition,All ages,Other,27.45,Overweight
"Poultry, raw, from backs and necks with skin, mechanically deboned",272,48,32,3,General nutrition,Adults,Other,21.7,Normal weight
"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, whole, brisket",251,47,53,22,General nutrition,Adults,Other,21.7,Normal weight
"Turkey, roasted, skin from whole (light and dark)",459,44,42,20,General nutrition,Adults,Other,27.45,Overweight
"Broadbeans, without salt, drained, boiled, cooked, immature seeds",62,18,42,0,General nutrition,Children,Other,18.5,Underweight
"Fish, dry heat, cooked, mixed species, eel",236,34,27,28,"Brain development, Joint health, Mood improvement",All ages,Dinner,21.7,Normal weight
"Turkey and gravy, frozen",67,38,36,18,General nutrition,Children,Other,18.5,Underweight
"Bologna, lite, pork and turkey",211,13,1,7,General nutrition,Old age,Other,21.7,Normal weight
"Corn, solids and liquids, regular pack, brine pack, canned, yellow, sweet",61,13,82,5,General nutrition,Old age,Other,18.5,Underweight
"Turkey sausage, cooked, fresh",196,17,62,10,General nutrition,All ages,Other,18.5,Underweight
"USDA Commodity, cooked, frozen, turkey taco meat",148,44,55,3,General nutrition,All ages,Dinner,18.5,Underweight
