name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
"Pork, pan-broiled, cooked, with added solution, separable lean only, boneless, top loin (chops), loin, fresh",100 g,169,5g,1.8g,75mg,209.00 mg,98.7 mg,1.00 mcg,0.00 mcg,10.323 mg,0.786 mg,0.188 mg,0.631 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.52 mcg,0.489 mg,0.0 mg,0,0.23 mg,0.23 mg,0.0 mcg,10.00 mg,0.063 mg,0.63 mg,28.00 mg,0.000 mg,320.00 mg,517.00 mg,37.7 mcg,2.02 mg,28.95 g,1.596 g,1.805 g,2.623 g,0.308 g,4.264 g,1.249 g,1.267 g,0.056 g,1.363 g,2.288 g,2.529 g,0.764 g,1.128 g,1.082 g,1.160 g,1.139 g,0.268 g,0.974 g,1.448 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,5.00 g,1.797 g,2.406 g,0.691 g,75.00 mg,0.0 g,1.68 g,0.00 mg,0.00 mg,64.49 g
"Beef, raw, separable lean and fat, boneless, ribeye steak/roast lip-on, rib, grass-fed, imported, Australian",100 g,217,15g,6.8g,52mg,60.00 mg,0,0,0,0,0,0,0,18.00 IU,5.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0,0,0.0 mg,0,0,0,0,5.00 mg,0,1.74 mg,0,0,0,0,0,0,19.80 g,1.053 g,1.226 g,1.678 g,0.194 g,2.968 g,0.812 g,0.601 g,0.092 g,0.798 g,1.508 g,1.640 g,0.532 g,0.710 g,0.750 g,0.716 g,0.825 g,0.209 g,0.646 g,0.843 g,0.11 g,0.0 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,15.21 g,6.782 g,6.344 g,0.467 g,52.00 mg,0.0 g,0.88 g,0.00 mg,0.00 mg,64.60 g
"Beef, grilled, cooked, all grades, trimmed to 1/8"" fat, separable lean only, lip-on, boneless, rib eye steak",100 g,207,11g,4.2g,79mg,59.00 mg,57.0 mg,7.00 mcg,0.00 mcg,5.799 mg,0.595 mg,0.323 mg,0.080 mg,6.00 IU,2.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,2.32 mcg,0.558 mg,0.0 mg,4.00 IU,0.10 mg,0.10 mg,1.6 mcg,7.00 mg,0.090 mg,2.53 mg,25.00 mg,0.090 mg,177.00 mg,296.00 mg,35.6 mcg,7.00 mg,27.97 g,1.825 g,2.051 g,2.953 g,0.307 g,4.986 g,1.318 g,1.135 g,0.141 g,1.426 g,2.631 g,2.940 g,0.812 g,1.218 g,1.284 g,1.241 g,1.437 g,0.343 g,1.142 g,1.507 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,10.57 g,4.200 g,4.866 g,0.548 g,79.00 mg,0.0 g,1.02 g,0.00 mg,0.00 mg,61.36 g
"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean and fat, boneless, mock tender steak, chuck",100 g,225,11g,3.9g,112mg,66.00 mg,122.2 mg,8.00 mcg,0.00 mcg,3.787 mg,0.904 mg,0.276 mg,0.088 mg,23.00 IU,7.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,4.29 mcg,0.372 mg,0.0 mg,6.00 IU,0.11 mg,0.11 mg,1.6 mcg,15.00 mg,0.144 mg,3.38 mg,22.00 mg,0.015 mg,230.00 mg,303.00 mg,37.1 mcg,10.46 mg,32.21 g,1.837 g,2.120 g,2.888 g,0.338 g,5.093 g,1.469 g,1.043 g,0.220 g,1.370 g,2.591 g,2.816 g,0.915 g,1.226 g,1.323 g,1.237 g,1.417 g,0.363 g,1.111 g,1.455 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,10.74 g,3.888 g,4.521 g,0.611 g,112.00 mg,0.0 g,1.55 g,0.00 mg,0.00 mg,56.78 g
"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean and fat, boneless, mock tender steak, chuck",100 g,211,9.3g,3.3g,115mg,69.00 mg,115.8 mg,8.00 mcg,0.00 mcg,3.870 mg,0.906 mg,0.281 mg,0.079 mg,25.00 IU,7.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,4.35 mcg,0.398 mg,0.0 mg,5.00 IU,0.10 mg,0.10 mg,1.6 mcg,15.00 mg,0.142 mg,3.21 mg,22.00 mg,0.047 mg,230.00 mg,288.00 mg,39.2 mcg,10.31 mg,31.86 g,1.817 g,2.097 g,2.857 g,0.334 g,5.038 g,1.453 g,1.032 g,0.218 g,1.355 g,2.562 g,2.785 g,0.905 g,1.212 g,1.309 g,1.224 g,1.402 g,0.359 g,1.098 g,1.440 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,9.34 g,3.263 g,3.782 g,0.569 g,115.00 mg,0.0 g,1.71 g,0.00 mg,0.00 mg,58.05 g
"Beef, broiled, cooked, USDA choice, trimmed to 0"" fat, separable lean and fat, porterhouse steak, short loin",100 g,283,20g,7.4g,69mg,65.00 mg,89.9 mg,7.00 mcg,0.00 mcg,4.237 mg,0.316 mg,0.230 mg,0.100 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,2.19 mcg,0.367 mg,0.0 mg,0,0.18 mg,0.18 mg,0,7.00 mg,0.130 mg,2.96 mg,22.00 mg,0.015 mg,194.00 mg,278.00 mg,19.7 mcg,4.59 mg,23.61 g,1.427 g,1.585 g,2.343 g,0.254 g,3.771 g,1.132 g,0.764 g,0.103 g,1.210 g,2.075 g,2.202 g,0.666 g,1.018 g,1.001 g,0.945 g,1.088 g,0.255 g,0.861 g,1.269 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,20.15 g,7.430 g,9.275 g,0.676 g,69.00 mg,0.0 g,1.08 g,0.00 mg,0.00 mg,53.95 g
"Beef, broiled, cooked, USDA select, trimmed to 0"" fat, separable lean and fat, porterhouse steak, short loin",100 g,267,18g,7g,64mg,65.00 mg,93.2 mg,7.00 mcg,0.00 mcg,4.171 mg,0.312 mg,0.226 mg,0.098 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,2.17 mcg,0.361 mg,0.0 mg,0,0.19 mg,0.19 mg,0,7.00 mg,0.128 mg,2.91 mg,22.00 mg,0.015 mg,191.00 mg,330.00 mg,19.6 mcg,4.51 mg,24.47 g,1.479 g,1.642 g,2.426 g,0.263 g,3.906 g,1.174 g,0.792 g,0.106 g,1.253 g,2.148 g,2.279 g,0.690 g,1.054 g,1.037 g,0.979 g,1.127 g,0.265 g,0.892 g,1.314 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,17.98 g,7.040 g,7.739 g,0.711 g,64.00 mg,0.0 g,1.29 g,0.00 mg,0.00 mg,55.69 g
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, boneless, shoulder top blade steak",100 g,220,12g,5g,92mg,84.00 mg,101.8 mg,7.00 mcg,0.00 mcg,4.194 mg,0.952 mg,0.305 mg,0.079 mg,21.00 IU,6.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,4.94 mcg,0.380 mg,0.0 mg,5.00 IU,0.14 mg,0.14 mg,1.6 mcg,14.00 mg,0.130 mg,3.11 mg,22.00 mg,0.015 mg,217.00 mg,374.00 mg,30.3 mcg,9.40 mg,27.51 g,1.569 g,1.811 g,2.467 g,0.289 g,4.351 g,1.255 g,0.891 g,0.188 g,1.170 g,2.213 g,2.405 g,0.781 g,1.047 g,1.130 g,1.057 g,1.210 g,0.310 g,0.949 g,1.243 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,12.26 g,4.968 g,6.036 g,1.001 g,92.00 mg,0.0 g,1.02 g,0.00 mg,0.00 mg,60.31 g
"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean and fat, boneless, shoulder top blade steak",100 g,194,9.3g,3.9g,98mg,88.00 mg,103.8 mg,7.00 mcg,0.00 mcg,4.471 mg,1.058 mg,0.306 mg,0.099 mg,22.00 IU,7.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,5.28 mcg,0.395 mg,0.0 mg,4.00 IU,0.12 mg,0.12 mg,1.6 mcg,14.00 mg,0.111 mg,3.02 mg,24.00 mg,0.015 mg,224.00 mg,388.00 mg,31.9 mcg,9.71 mg,27.70 g,1.580 g,1.824 g,2.485 g,0.291 g,4.382 g,1.264 g,0.898 g,0.189 g,1.178 g,2.229 g,2.422 g,0.787 g,1.054 g,1.139 g,1.064 g,1.219 g,0.312 g,0.955 g,1.252 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,9.29 g,3.868 g,4.191 g,0.604 g,98.00 mg,0.0 g,1.25 g,0.00 mg,0.00 mg,62.15 g
"Lamb, braised, cooked, trimmed to 1/8"" fat, separable lean and fat, foreshank, frozen, imported, New Zealand",100 g,258,16g,7.8g,102mg,47.00 mg,0,1.00 mcg,0.00 mcg,6.070 mg,0.410 mg,0.330 mg,0.070 mg,0.00 IU,0.00 mcg,0,0,0,0,0,2.44 mcg,0.080 mg,0.0 mg,0,0,0,0,14.00 mg,0.102 mg,2.07 mg,15.00 mg,0.024 mg,175.00 mg,118.00 mg,5.3 mcg,4.80 mg,26.97 g,1.622 g,1.602 g,2.374 g,0.322 g,3.914 g,1.317 g,0.854 g,0,1.301 g,2.098 g,2.382 g,0.692 g,1.098 g,1.131 g,1.003 g,1.154 g,0.315 g,0.906 g,1.455 g,0.00 g,0.0 g,0,0,0,0,0,0,0,15.83 g,7.820 g,6.100 g,0.730 g,102.00 mg,0,1.61 g,0,0,56.76 g
"Beef, grilled, cooked, all grades, trimmed to 1/8"" fat, separable lean only, lip-on, bone-in, rib eye steak",100 g,221,12g,4.8g,80mg,67.00 mg,57.1 mg,7.00 mcg,0.00 mcg,5.683 mg,0.625 mg,0.334 mg,0.105 mg,6.00 IU,2.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,2.22 mcg,0.547 mg,0.0 mg,4.00 IU,0.08 mg,0.08 mg,1.6 mcg,22.00 mg,0.081 mg,2.62 mg,25.00 mg,0.081 mg,184.00 mg,279.00 mg,28.2 mcg,6.00 mg,27.40 g,1.788 g,2.009 g,2.893 g,0.301 g,4.885 g,1.291 g,1.112 g,0.138 g,1.397 g,2.577 g,2.880 g,0.796 g,1.194 g,1.258 g,1.216 g,1.408 g,0.336 g,1.118 g,1.476 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,12.43 g,4.794 g,5.628 g,0.594 g,80.00 mg,0.0 g,1.09 g,0.00 mg,0.00 mg,59.69 g
"Beverages, prepared with water and ice, powder, with aspartame, reduced calorie, chocolate, dairy drink mix",100 g,29,0.2g,0.2g,2mg,61.00 mg,0,3.00 mcg,0.00 mcg,0.110 mg,0.188 mg,0.170 mg,0.010 mg,61.00 IU,18.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,1.00 mcg,0,0.18 mcg,0.010 mg,0.5 mg,0,0.00 mg,0.00 mg,0.1 mcg,127.00 mg,0.079 mg,0.68 mg,19.00 mg,0.064 mg,78.00 mg,197.00 mg,1.9 mcg,0.32 mg,2.19 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51 g,0.8 g,2.89 g,0,0,0,0,0,0,0.23 g,0.164 g,0.043 g,0.005 g,2.00 mg,0.0 g,0.81 g,2.00 mg,73.00 mg,92.26 g
"Beef, broiled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, porterhouse steak, short loin",100 g,276,19g,7.3g,67mg,65.00 mg,91.3 mg,7.00 mcg,0.00 mcg,4.210 mg,0.314 mg,0.228 mg,0.099 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,2.18 mcg,0.365 mg,0.0 mg,0,0.18 mg,0.18 mg,0,7.00 mg,0.130 mg,2.94 mg,22.00 mg,0.015 mg,193.00 mg,299.00 mg,19.6 mcg,4.56 mg,23.96 g,1.448 g,1.608 g,2.377 g,0.258 g,3.826 g,1.149 g,0.775 g,0.104 g,1.228 g,2.105 g,2.233 g,0.676 g,1.033 g,1.016 g,0.959 g,1.104 g,0.259 g,0.874 g,1.288 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,19.27 g,7.271 g,8.650 g,0.690 g,67.00 mg,0.0 g,1.17 g,0.00 mg,0.00 mg,54.66 g
"Beef, grilled, cooked, select, trimmed to 1/8"" fat, separable lean and fat, lip-on, boneless, rib eye steak",100 g,273,19g,8.7g,79mg,54.00 mg,48.8 mg,6.00 mcg,0.00 mcg,5.270 mg,0.544 mg,0.275 mg,0.071 mg,26.00 IU,8.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,2.06 mcg,0.534 mg,0.0 mg,6.00 IU,0.08 mg,0.08 mg,1.6 mcg,10.00 mg,0.085 mg,2.12 mg,23.00 mg,0.085 mg,157.00 mg,279.00 mg,33.2 mcg,6.03 mg,24.83 g,1.563 g,1.737 g,2.483 g,0.261 g,4.147 g,1.229 g,0.971 g,0.170 g,1.178 g,2.200 g,2.456 g,0.686 g,1.014 g,1.146 g,1.052 g,1.193 g,0.278 g,0.952 g,1.259 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,19.25 g,8.749 g,9.426 g,0.981 g,79.00 mg,0.0 g,0.93 g,0.00 mg,0.00 mg,55.98 g
"Beef, grilled, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, lip-on, boneless, rib eye steak",100 g,303,24g,10g,81mg,54.00 mg,48.9 mg,6.00 mcg,0.00 mcg,4.666 mg,0.529 mg,0.294 mg,0.070 mg,25.00 IU,7.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,2.13 mcg,0.439 mg,0.0 mg,7.00 IU,0.11 mg,0.11 mg,1.6 mcg,12.00 mg,0.076 mg,2.33 mg,21.00 mg,0.076 mg,149.00 mg,247.00 mg,27.4 mcg,5.84 mg,22.92 g,1.417 g,1.547 g,2.214 g,0.231 g,3.729 g,1.130 g,0.844 g,0.157 g,1.065 g,1.958 g,2.167 g,0.618 g,0.914 g,1.022 g,0.936 g,1.075 g,0.257 g,0.848 g,1.145 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,23.52 g,10.307 g,11.247 g,1.059 g,81.00 mg,0.0 g,0.88 g,0.00 mg,0.00 mg,53.50 g
"Beef, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, lip-on, boneless, rib eye roast",100 g,303,23g,10g,82mg,51.00 mg,49.0 mg,6.00 mcg,0.00 mcg,4.851 mg,0.590 mg,0.252 mg,0.087 mg,25.00 IU,8.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,2.20 mcg,0.464 mg,0.0 mg,7.00 IU,0.11 mg,0.11 mg,1.6 mcg,11.00 mg,0.082 mg,2.00 mg,21.00 mg,0.082 mg,152.00 mg,281.00 mg,29.5 mcg,6.09 mg,23.92 g,1.479 g,1.615 g,2.311 g,0.241 g,3.892 g,1.180 g,0.880 g,0.163 g,1.111 g,2.043 g,2.262 g,0.645 g,0.954 g,1.066 g,0.977 g,1.122 g,0.268 g,0.885 g,1.195 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,22.98 g,10.044 g,11.039 g,1.173 g,82.00 mg,0.0 g,0.89 g,0.00 mg,0.00 mg,52.62 g
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, top round steak, round",100 g,162,3.8g,1.6g,86mg,75.00 mg,90.1 mg,5.00 mcg,0.00 mcg,8.975 mg,0.497 mg,0.328 mg,0.089 mg,9.00 IU,3.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,2.28 mcg,0.882 mg,0.0 mg,1.00 IU,0.32 mg,0.32 mg,1.5 mcg,18.00 mg,0.066 mg,3.25 mg,17.00 mg,0.005 mg,306.00 mg,435.00 mg,30.8 mcg,5.15 mg,30.09 g,2.138 g,2.402 g,3.459 g,0.359 g,5.840 g,1.543 g,1.329 g,0.165 g,1.670 g,3.081 g,3.443 g,0.951 g,1.427 g,1.504 g,1.453 g,1.683 g,0.402 g,1.337 g,1.765 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,3.77 g,1.556 g,1.794 g,0.310 g,86.00 mg,0.0 g,1.29 g,0.00 mg,0.00 mg,64.28 g
"Infant formula, with DHA and ARA, not reconstituted, powder, with iron, ALIMENTUM ADVANCE, ABBOTT NUTRITION",100 g,517,28g,14g,8mg,224.00 mg,40.7 mg,76.00 mcg,76.00 mcg,6.870 mg,3.817 mg,0.458 mg,0.305 mg,1528.00 IU,458.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,2.29 mcg,0.305 mg,45.8 mg,229.00 IU,10.24 mg,10.24 mg,76.3 mcg,534.00 mg,0.382 mg,9.16 mg,38.00 mg,0,382.00 mg,598.00 mg,9.3 mcg,3.82 mg,13.99 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.91 g,0.0 g,34.18 g,0,0,0,0,0,0,28.19 g,14.282 g,2.276 g,8.877 g,8.00 mg,0.0 g,4.41 g,0.00 mg,0.00 mg,1.50 g
"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, steak, bottom round, outside round, round",100 g,142,5.5g,2g,61mg,62.00 mg,87.4 mg,6.00 mcg,0.00 mcg,6.380 mg,0.690 mg,0.204 mg,0.073 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,4.34 mcg,0.721 mg,0.0 mg,0,0.08 mg,0.08 mg,0.0 mcg,5.00 mg,0.134 mg,2.53 mg,24.00 mg,0.019 mg,211.00 mg,345.00 mg,32.3 mcg,3.94 mg,21.59 g,1.312 g,1.396 g,1.966 g,0.279 g,3.241 g,1.314 g,0.689 g,0.098 g,0.982 g,1.717 g,1.824 g,0.562 g,0.853 g,1.029 g,0.850 g,0.862 g,0.142 g,0.688 g,1.071 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,5.53 g,2.000 g,2.503 g,0.309 g,61.00 mg,0.0 g,1.05 g,0.00 mg,0.00 mg,72.19 g
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean only, lip off, boneless, rib eye steak",100 g,206,10g,4.2g,79mg,59.00 mg,57.0 mg,7.00 mcg,0.00 mcg,5.799 mg,0.595 mg,0.323 mg,0.080 mg,6.00 IU,2.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,2.32 mcg,0.558 mg,0.0 mg,4.00 IU,0.10 mg,0.10 mg,1.6 mcg,7.00 mg,0.090 mg,2.53 mg,25.00 mg,0.090 mg,177.00 mg,296.00 mg,35.6 mcg,7.00 mg,28.11 g,1.834 g,2.061 g,2.968 g,0.308 g,5.011 g,1.324 g,1.140 g,0.142 g,1.433 g,2.644 g,2.955 g,0.816 g,1.224 g,1.290 g,1.247 g,1.444 g,0.345 g,1.147 g,1.515 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,10.37 g,4.200 g,4.866 g,0.548 g,79.00 mg,0.0 g,1.09 g,0.00 mg,0.00 mg,60.91 g
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean only, outside skirt, boneless, plate steak",100 g,291,20g,7g,105mg,71.00 mg,79.9 mg,7.00 mcg,0.00 mcg,4.927 mg,1.390 mg,0.848 mg,0.130 mg,6.00 IU,2.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,8.18 mcg,0.445 mg,0.0 mg,8.00 IU,0.09 mg,0.09 mg,1.6 mcg,7.00 mg,0.210 mg,5.06 mg,24.00 mg,0.208 mg,185.00 mg,286.00 mg,36.0 mcg,7.12 mg,27.03 g,1.685 g,1.886 g,2.717 g,0.281 g,4.607 g,1.215 g,1.033 g,0.137 g,1.321 g,2.421 g,2.696 g,0.750 g,1.125 g,1.178 g,1.142 g,1.328 g,0.320 g,1.053 g,1.398 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,20.28 g,7.035 g,7.979 g,1.128 g,105.00 mg,0.0 g,1.28 g,0.00 mg,0.00 mg,51.62 g
"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean only, outside skirt, boneless, plate steak",100 g,268,17g,6.1g,99mg,70.00 mg,77.8 mg,7.00 mcg,0.00 mcg,5.605 mg,1.330 mg,0.860 mg,0.120 mg,9.00 IU,3.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,7.53 mcg,0.479 mg,0.0 mg,7.00 IU,0.07 mg,0.07 mg,1.6 mcg,8.00 mg,0.217 mg,5.46 mg,26.00 mg,0.217 mg,197.00 mg,284.00 mg,36.0 mcg,7.38 mg,28.65 g,2.026 g,2.299 g,3.305 g,0.345 g,5.546 g,1.465 g,1.293 g,0.145 g,1.580 g,2.945 g,3.305 g,0.905 g,1.351 g,1.451 g,1.394 g,1.595 g,0.374 g,1.279 g,1.667 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,17.10 g,6.132 g,6.639 g,1.003 g,99.00 mg,0.0 g,1.33 g,0.00 mg,0.00 mg,53.31 g
"Beef, broiled, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, small end (ribs 10-12), rib",100 g,291,20g,7.9g,97mg,53.00 mg,98.5 mg,8.00 mcg,0.00 mcg,6.881 mg,0.510 mg,0.125 mg,0.070 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,1.52 mcg,0.541 mg,0.0 mg,13.00 IU,0.49 mg,0.49 mg,1.8 mcg,19.00 mg,0.078 mg,1.66 mg,22.00 mg,0.009 mg,201.00 mg,323.00 mg,28.0 mcg,4.67 mg,25.85 g,1.572 g,1.672 g,2.355 g,0.334 g,3.881 g,1.574 g,0.825 g,0.272 g,1.176 g,2.057 g,2.185 g,0.673 g,1.021 g,1.232 g,1.018 g,1.033 g,0.170 g,0.824 g,1.283 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,20.04 g,7.894 g,8.355 g,0.762 g,97.00 mg,0.0 g,1.05 g,0.00 mg,0.00 mg,53.65 g
"Beef, roasted, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, small end (ribs 10-12), rib",100 g,341,27g,11g,83mg,63.00 mg,0,6.00 mcg,0.00 mcg,3.160 mg,0.240 mg,0.160 mg,0.060 mg,0.00 IU,0.00 mcg,0,0,0,0,0,2.88 mcg,0.240 mg,0.0 mg,0,0,0,0,13.00 mg,0.078 mg,2.42 mg,20.00 mg,0.014 mg,183.00 mg,324.00 mg,21.9 mcg,4.93 mg,22.54 g,1.359 g,1.424 g,2.059 g,0.252 g,3.386 g,1.230 g,0.772 g,0,1.013 g,1.781 g,1.875 g,0.577 g,0.880 g,0.995 g,0.862 g,0.984 g,0.252 g,0.757 g,1.096 g,0.00 g,0.0 g,0,0,0,0,0,0,0,27.14 g,10.920 g,11.730 g,0.990 g,83.00 mg,0,1.11 g,0,0,48.97 g
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean and fat, steak, tip center, knuckle, round",100 g,188,8.1g,2.8g,75mg,51.00 mg,103.8 mg,10.00 mcg,0.00 mcg,5.435 mg,0.702 mg,0.213 mg,0.054 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,2.92 mcg,0.515 mg,0.0 mg,0,0.20 mg,0.20 mg,0.2 mcg,5.00 mg,0.090 mg,2.51 mg,26.00 mg,0.011 mg,238.00 mg,373.00 mg,39.8 mcg,6.56 mg,26.88 g,1.634 g,1.738 g,2.449 g,0.347 g,4.036 g,1.637 g,0.858 g,0.282 g,1.223 g,2.139 g,2.272 g,0.700 g,1.062 g,1.282 g,1.059 g,1.074 g,0.177 g,0.857 g,1.334 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,8.13 g,2.759 g,2.983 g,0.367 g,75.00 mg,0.0 g,0.97 g,0.00 mg,0.00 mg,64.53 g
"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean and fat, steak, tip center, knuckle, round",100 g,162,5.3g,2.1g,74mg,53.00 mg,104.7 mg,10.00 mcg,0.00 mcg,4.660 mg,0.848 mg,0.225 mg,0.067 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,3.83 mcg,0.457 mg,0.0 mg,0,0.19 mg,0.19 mg,0.2 mcg,5.00 mg,0.088 mg,2.49 mg,26.00 mg,0.011 mg,243.00 mg,386.00 mg,37.5 mcg,7.41 mg,26.61 g,1.618 g,1.721 g,2.424 g,0.343 g,3.995 g,1.620 g,0.849 g,0.280 g,1.211 g,2.117 g,2.249 g,0.693 g,1.051 g,1.269 g,1.048 g,1.063 g,0.175 g,0.848 g,1.320 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,5.32 g,2.063 g,2.172 g,0.341 g,74.00 mg,0.0 g,0.97 g,0.00 mg,0.00 mg,67.13 g
"Beef, roasted, cooked, all grades, trimmed to 1/8"" fat, separable lean only, lip-on, bone-in, rib eye roast",100 g,231,14g,5.3g,80mg,69.00 mg,55.5 mg,7.00 mcg,0.00 mcg,5.561 mg,0.685 mg,0.329 mg,0.095 mg,6.00 IU,2.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,2.26 mcg,0.544 mg,0.0 mg,4.00 IU,0.10 mg,0.10 mg,1.6 mcg,11.00 mg,0.085 mg,2.36 mg,24.00 mg,0.085 mg,173.00 mg,295.00 mg,27.7 mcg,6.14 mg,27.12 g,1.770 g,1.988 g,2.863 g,0.298 g,4.834 g,1.277 g,1.100 g,0.137 g,1.382 g,2.550 g,2.850 g,0.787 g,1.181 g,1.245 g,1.203 g,1.393 g,0.332 g,1.107 g,1.461 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,13.64 g,5.258 g,6.085 g,0.619 g,80.00 mg,0.0 g,1.05 g,0.00 mg,0.00 mg,58.66 g
