Recommended Diet,Calories (kcal),Protein (g),Carbs (g),Fat (g),Vitamins,Meal Type,BMI,BMI Category,Minerals,Health Benefits,suitable_age_group,Health Condition
"Pork, roasted, cooked, separable lean and fat, whole, leg (ham), fresh",273,43,56,18,"B, E, A, D",Breakfast,26.7,Overweight,Calcium,General nutrition,Adults,"Psoriasis, Encephalitis, Anorexia Nervosa"
"Frankfurter, low sodium",312,4,98,5,C,Others,22.8,Normal weight,"Zinc, Iron",General nutrition,Old age,"Depression, Prader-Willi Syndrome, Alzheimer's Disease"
"Pork, roasted, heated, separable lean and fat, bone-in, rump, ham with natural juices, cured",177,42,65,6,"C, D, E",Snacks,21.0,Normal weight,"Magnesium, Calcium, Zinc",General nutrition,Children,"Systemic Lupus Erythematosus, Cystic Fibrosis"
"Radicchio, raw",23,35,94,10,"D, B",Snacks,26.3,Overweight,"Calcium, Zinc, Iron",General nutrition,Old age,Prostate Cancer
"Kale, raw",49,10,21,11,C,Snacks,16.9,Underweight,Zinc,General nutrition,Children,Canavan Disease
"Lamb, braised, cooked, separable lean only, square-cut shoulder chops, imported, New Zealand",255,16,36,25,"C, E",Others,24.5,Normal weight,Calcium,General nutrition,All ages,"Gaucher's Disease, Glaucoma"
"Beef, raw, choice, separable lean and fat, shortribs, rib",388,4,32,3,"C, A, D, E",Breakfast,16.6,Underweight,"Zinc, Iron, Magnesium",General nutrition,All ages,Seizure Disorders
"Alfalfa seeds, raw, sprouted",23,17,55,25,"C, E, A",Snacks,20.4,Normal weight,"Calcium, Magnesium",General nutrition,Children,Marfan Syndrome
"Frankfurter, heated, beef",322,31,65,14,"E, C, B, D",Breakfast,26.7,Overweight,Magnesium,General nutrition,Children,"Heart Disease, Myeloma, Food Allergies"
"Babyfood, strained, mixed fruit yogurt",75,26,87,2,"C, A, D",Snacks,24.3,Normal weight,"Iron, Calcium",General nutrition,Old age,High Cholesterol
"Snacks, peanut butter, hard, granola bars",483,17,60,27,"B, C",Lunch,28.9,Overweight,"Iron, Zinc",General nutrition,All ages,"Macular Degeneration, Hemophilia"
"Croissants, cheese",414,3,10,6,"A, E, B, D",Others,17.8,Underweight,"Calcium, Iron, Zinc",General nutrition,Adults,Liver Disease
"Croutons, seasoned",465,23,95,14,"C, D, B, A",Lunch,27.8,Overweight,Calcium,General nutrition,Adults,"Osteoporosis, Heart Disease, Post-Traumatic Stress Disorder (PTSD)"
"Cereals ready-to-eat, KASHI GOLEAN CRISP Cinnamon Crumble",362,29,34,2,"D, C",Breakfast,24.2,Normal weight,"Zinc, Iron","Sustained energy, Digestive health, Blood sugar control",All ages,"Ehlers-Danlos Syndrome, Breast Cancer"
"Cereals ready-to-eat, frosted oat cereal with marshmallows",400,42,50,28,"C, D, B",Lunch,27.4,Overweight,"Calcium, Iron","Sustained energy, Digestive health, Blood sugar control",Children,"Maple Syrup Urine Disease, GERD"
"SUNSHINE, Scrabble Jr. Crackers, CHEEZ-IT",466,33,2,12,E,Lunch,24.0,Normal weight,"Iron, Calcium",General nutrition,Old age,"Thyroid Disorders, Hypertension"
"Soup, condensed, canned, tomato rice",93,26,58,29,"B, C, E",Snacks,25.3,Overweight,"Calcium, Zinc",General nutrition,Adults,"Glycogen Storage Disease, Eczema, Diabetes"
"Soup, mix, dry, chicken noodle",377,40,7,14,"B, A, E",Others,19.1,Normal weight,"Iron, Zinc, Calcium",General nutrition,Adults,"Diabetes, Crohn's Disease, Congenital Heart Disease"
"Fish, drained solids, without salt, canned in water, white, tuna",128,36,28,18,"C, B, E",Snacks,23.8,Normal weight,"Iron, Calcium","Brain development, Joint health, Mood improvement",Old age,"Prostate Cancer, Ulcers"
"Nuts, without salt added, with peanuts, dry roasted, mixed nuts",607,42,39,9,"C, D",Lunch,25.7,Overweight,"Zinc, Calcium","Heart health, Weight management, Brain function",Old age,"Multiple Sclerosis, Ovarian Cancer, Schizophrenia"
"Beef, raw, choice, trimmed to 0"" fat, separable lean only, boneless, mock tender steak, chuck",127,18,57,24,B,Snacks,24.2,Normal weight,"Zinc, Calcium",General nutrition,Children,Gallstones
"MORI-NU, lite extra firm, silken, Tofu",38,29,53,16,C,Snacks,20.3,Normal weight,"Zinc, Magnesium",General nutrition,Adults,"Skin Cancer, Cystic Fibrosis, Fibromyalgia"
Shortening household soybean (hydrogenated) and palm,884,8,40,4,"E, B, C",Others,23.9,Normal weight,"Calcium, Iron, Zinc",General nutrition,Old age,"Menopause, Sepsis, Hyperglycemia"
"Light ice cream, Creamsicle",165,44,90,5,"C, E, A, D",Snacks,26.5,Overweight,Calcium,General nutrition,Old age,Zellweger Spectrum Disorder
"Seeds, roasted and toasted, whole, sesame seeds",565,26,79,15,"D, E",Lunch,29.8,Overweight,"Magnesium, Zinc, Iron","Heart health, Weight management, Brain function",Old age,"Pancreatitis, Chronic Fatigue Syndrome, Malnutrition"
"LITTLE CAESARS 14"" Cheese Pizza, Large Deep Dish Crust",263,8,35,2,"E, D",Breakfast,17.9,Underweight,"Iron, Zinc",General nutrition,Old age,"Psoriasis, Scleroderma, Dementia"
"SPAGHETTIOS, SpaghettiOs with Meatballs - Easy Open",87,49,33,15,"B, C",Snacks,21.1,Normal weight,"Magnesium, Zinc","Muscle building, Iron absorption, Zinc boost",Children,"Epilepsy, Cystitis"
"Cereals ready-to-eat, KRETSCHMER Toasted Wheat Bran, SUN COUNTRY",200,33,4,4,C,Others,19.3,Normal weight,Calcium,"Sustained energy, Digestive health, Blood sugar control",Adults,"Acromegaly, Myeloma"
"Beans, without salt, boiled, cooked, mature seeds, french",129,14,38,27,"D, E, B",Snacks,20.9,Normal weight,"Zinc, Calcium",General nutrition,All ages,Depression
Abolo with Shrimp,280,12,45,8,C,Breakfast,21.5,Normal weight,Iron,High protein,rich in vitamins,General
"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, boneless, shoulder top blade steak",139,13,11,3,"B, E, A, D",Snacks,16.5,Underweight,"Magnesium, Zinc, Iron",General nutrition,Adults,"Addison's Disease, Systemic Lupus Erythematosus, Sjogren's Syndrome"
"Snacks, plain, hard, granola bars",471,29,36,8,"E, C, D",Lunch,20.3,Normal weight,Magnesium,General nutrition,Children,"Cystitis, Fibromyalgia, Malnutrition"
"KASHI Three Cheese Penne, unprepared, frozen",126,33,84,24,"D, C",Snacks,29.5,Overweight,"Iron, Calcium, Zinc",General nutrition,All ages,"Cystinosis, Hypertension"
"Yogurt, sweetened with low calorie sweetener, lowfat milk, vanilla flavor",86,21,79,13,E,Snacks,24.5,Normal weight,"Zinc, Magnesium, Calcium",General nutrition,Children,"Parkinson's Disease, Malnutrition"
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, boneless, chuck eye steak",277,11,5,4,C,Others,17.5,Underweight,"Zinc, Calcium",General nutrition,All ages,"Rett Syndrome, Ulcers, Sepsis"
"Candies, 3 MUSKETEERS Bar, MARS SNACKFOOD US",436,2,25,16,"B, E, D, C",Others,22.6,Normal weight,"Iron, Magnesium, Calcium",General nutrition,Children,Seizure Disorders
"MORNINGSTAR FARMS Grillers Quarter Pound Veggie Burger, unprepared, frozen",219,23,10,14,"D, A, E",Others,21.1,Normal weight,"Calcium, Magnesium",General nutrition,Adults,"Canavan Disease, Prostate Cancer, Cushing's Syndrome"
"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean only, lip off, boneless, top loin steak, loin",189,43,18,16,A,Snacks,19.6,Normal weight,"Zinc, Iron, Magnesium",General nutrition,Old age,"Skin Cancer, Scleroderma, Alkaptonuria"
"Game meat, broiled, cooked, separable lean only, round, elk",156,21,54,20,"A, E, B, C",Snacks,20.2,Normal weight,"Magnesium, Zinc",General nutrition,Adults,"Cushing's Syndrome, Sickle Cell Anemia"
"KEEBLER, Mini Mints Grasshopper Cookies, FUDGE SHOPPE, 100 Calorie RIGHT BITES",456,4,75,24,B,Others,27.1,Overweight,"Magnesium, Iron",General nutrition,Adults,"Sjogren's Syndrome, Endometriosis, Seizure Disorders"
"Mollusks, moist heat, cooked, common, octopus",164,7,62,14,"E, C",Snacks,23.2,Normal weight,Calcium,General nutrition,Old age,Ulcerative Colitis
"Sea lion, kidney (Alaska Native), Steller",93,3,97,26,"A, E, B",Snacks,27.3,Overweight,Iron,General nutrition,Adults,Hemochromatosis
"Mush, blue corn with ash (Navajo)",54,47,93,16,"A, D, B, E",Snacks,26.9,Overweight,"Magnesium, Calcium",General nutrition,Adults,Autism Spectrum Disorder
"Beef, raw, select, trimmed to 1/8"" fat, separable lean and fat, top loin, loin",224,6,68,14,"A, E, D",Others,20.4,Normal weight,"Calcium, Iron",General nutrition,Old age,"Cystinosis, Zellweger Spectrum Disorder"
"Turnip greens, with salt, drained, boiled, cooked, frozen",29,5,84,26,"E, D, A, C",Snacks,20.7,Normal weight,Zinc,General nutrition,All ages,"Diverticulitis, Hyperglycemia"
"Cheese, 1% milkfat, lowfat, cottage",72,18,30,19,"B, E",Snacks,19.6,Normal weight,Magnesium,General nutrition,All ages,Hemophilia
"Avocados, all commercial varieties, raw",160,31,76,13,"A, B, E",Snacks,29.6,Overweight,"Zinc, Calcium",General nutrition,Adults,"COPD, Gaucher's Disease"
"Candies, NFS (45-59% cacao solids 90%; 60-69% cacao solids 5%; 70-85% cacao solids 5%), dark, chocolate",550,27,36,2,"D, C, E, B",Lunch,22.3,Normal weight,Magnesium,General nutrition,Children,Ovarian Cancer
"Bologna, low fat, beef and pork",230,4,23,19,"E, B",Others,20.1,Normal weight,Iron,General nutrition,Adults,"Hyperoxaluria, Macular Degeneration"
"Snacks, pieces, fruit leather",359,23,67,8,"E, C, D, A",Breakfast,21.0,Normal weight,"Calcium, Zinc, Magnesium",General nutrition,Old age,"Seizure Disorders, Sickle Cell Anemia, Hemophilia"
"Salad dressing, without salt, reduced fat, french dressing",233,10,21,18,"E, D, C",Others,24.1,Normal weight,Zinc,General nutrition,Adults,Menopause
"Soup, condensed, canned, mushroom barley",61,42,11,19,"B, C, E, D",Snacks,20.0,Normal weight,"Calcium, Iron, Magnesium",General nutrition,Old age,"None, Maple Syrup Urine Disease"
"Potatoes, whole milk and margarine added, prepared from flakes without milk, dehydrated, mashed",113,10,85,16,"C, E",Snacks,21.5,Normal weight,Calcium,General nutrition,Adults,"Cystinosis, Kidney Disease, High Cholesterol"
Wonton wrappers (includes egg roll wrappers),291,43,31,0,"C, B",Others,23.0,Normal weight,Magnesium,General nutrition,Children,GERD
"Corn, rinsed with tap water, drained solids, canned, yellow, sweet",74,9,47,20,C,Snacks,21.5,Normal weight,"Magnesium, Zinc",General nutrition,Children,"Hemophilia, Epilepsy"
"Cream, cultured, sour",198,5,43,16,B,Snacks,24.9,Normal weight,Magnesium,General nutrition,Adults,"Menopause, Schizophrenia, Glycogen Storage Disease"
"Snacks, smoked, beef sticks",550,12,63,24,"C, E",Others,29.4,Overweight,"Zinc, Iron",General nutrition,Adults,"Myeloma, Hypothyroidism, Sleep Apnea"
Cracker meal,383,49,38,21,"C, B, D",Others,29.6,Overweight,"Iron, Magnesium, Zinc",General nutrition,Children,"Attention Deficit Hyperactivity Disorder (ADHD), Lung Cancer, Autism Spectrum Disorder"
"Soup, condensed, low sodium, canned, vegetable",65,49,9,4,"A, C",Snacks,19.3,Normal weight,"Zinc, Calcium",General nutrition,Adults,"Leukemia, Acromegaly, Eczema"
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean and fat, composite of trimmed retail cuts",222,25,75,23,"D, A, C",Breakfast,27.2,Overweight,"Iron, Zinc, Calcium",General nutrition,Children,"Fabry Disease, Pancreatitis"
"KEEBLER, Garlic Herb Crackers, TOPPERS, TOWN HOUSE",483,22,99,14,"A, E",Lunch,26.8,Overweight,Magnesium,General nutrition,Children,"Meningitis, Lung Cancer"
"Mollusks, moist heat, cooked, blue, mussel",172,11,65,25,"A, D",Snacks,20.0,Normal weight,"Magnesium, Iron, Calcium",General nutrition,Adults,"Neurofibromatosis, Arthritis"
"McDONALD'S, Sausage McMUFFIN",333,23,29,21,"A, B",Breakfast,21.8,Normal weight,"Magnesium, Iron, Calcium",General nutrition,Children,Zellweger Spectrum Disorder
"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean only, lip-on, boneless, top loin steak, loin",143,11,6,13,"C, E",Snacks,16.1,Underweight,"Iron, Zinc, Calcium",General nutrition,Adults,Anemia
"Yogurt, DANNON OIKOS, vanilla, nonfat, Greek",85,31,0,21,"C, E",Snacks,22.8,Normal weight,"Magnesium, Iron",General nutrition,Old age,"Anemia, Hemochromatosis"
"Breakfast tart, low fat",372,3,45,26,"C, A, D, E",Others,19.9,Normal weight,"Zinc, Magnesium",General nutrition,Adults,Cataracts
"CAMPBELL'S Low Sodium Soups, Chicken with Noodles Soup",52,32,87,29,"B, E, D, A",Snacks,27.4,Overweight,Zinc,General nutrition,Old age,"Ornithine Transcarbamylase Deficiency, Psoriasis"
"Fast foods, with egg, biscuit",274,43,97,11,B,Breakfast,27.9,Overweight,"Zinc, Iron",General nutrition,All ages,"Leukemia, Hemophilia"
"Peanuts, with salt, dry-roasted, all types",587,41,58,26,"D, E, B",Lunch,25.2,Overweight,Calcium,General nutrition,Adults,"Tay-Sachs Disease, Systemic Lupus Erythematosus, Inflammatory Bowel Disease"
"Lamb, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, composite of trimmed retail cuts, domestic",271,27,97,19,"C, B, A, D",Breakfast,28.5,Overweight,"Magnesium, Iron",General nutrition,All ages,"Skin Cancer, Galactosemia"
"Leavening agents, compressed, baker's, yeast",105,23,96,21,A,Snacks,27.8,Overweight,"Iron, Zinc",General nutrition,Children,"Wilson's Disease, Macular Degeneration, Leukemia"
"WENDY'S, no cheese, CLASSIC SINGLE Hamburger",213,45,20,22,"C, D",Others,29.6,Overweight,Magnesium,General nutrition,Old age,"Celiac Disease, GERD"
"Lamb, raw, testes, imported, New Zealand",68,14,11,15,"D, B",Snacks,18.3,Underweight,"Calcium, Iron",General nutrition,Old age,"Autism Spectrum Disorder, Tuberculosis"
"Oil, (approx. 65%), linoleic, sunflower",884,22,86,5,B,Dinner,29.0,Overweight,"Calcium, Magnesium",General nutrition,All ages,Leukemia
"Cereals, dry, chocolate, MALT-O-MEAL",363,22,73,3,"E, C, D",Breakfast,22.6,Normal weight,"Magnesium, Calcium","Sustained energy, Digestive health, Blood sugar control",Old age,"Acromegaly, Lymphoma"
"Bread, wheat",267,25,40,8,"D, C, E, B",Breakfast,22.9,Normal weight,Magnesium,General nutrition,All ages,"Sleep Apnea, Parkinson's Disease, Psoriasis"
"Snacks, light (baked with less oil), tortilla chips",465,38,51,21,"D, A, C",Lunch,28.2,Overweight,Iron,General nutrition,Children,Ehlers-Danlos Syndrome
"Potatoes, home-prepared, o'brien",81,17,59,9,"C, A, E",Snacks,24.5,Normal weight,Calcium,General nutrition,Old age,"Leigh Syndrome, Sjogren's Syndrome"
"Fast foods, with condiments and vegetables, regular patty, cheeseburger; single",254,10,32,16,"E, A",Others,24.2,Normal weight,Calcium,General nutrition,Old age,"Ornithine Transcarbamylase Deficiency, GERD, Binge Eating Disorder"
"Salad dressing, creamy, poppyseed",399,38,37,11,C,Others,24.4,Normal weight,"Iron, Calcium",General nutrition,Children,"Hyperoxaluria, Systemic Lupus Erythematosus"
"Salad dressing, light, mayonnaise-type",158,45,27,13,"E, D, B",Snacks,19.0,Normal weight,"Calcium, Iron",General nutrition,Adults,Thalassemia
"Beef, raw, separable lean and fat, boneless, bottom round steak/roast, round, grass-fed, imported, Australian",140,28,27,13,"A, C",Snacks,24.2,Normal weight,"Iron, Zinc, Calcium",General nutrition,Children,Hyperglycemia
"Veal, braised, cooked, separable lean and fat, boneless, plate half, breast",282,20,66,6,"A, B, D, E",Breakfast,22.2,Normal weight,"Calcium, Zinc, Iron",General nutrition,Adults,Cystic Fibrosis
"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, steak, tip center, knuckle, round",143,25,12,26,"A, E, B",Snacks,21.3,Normal weight,Calcium,General nutrition,Old age,Mucopolysaccharidosis
"PEPPERIDGE FARM, Raisin Cinnamon Swirl Bread",286,10,98,0,"C, A, D, B",Breakfast,23.7,Normal weight,"Calcium, Iron",General nutrition,Children,"Glycogen Storage Disease, Seizure Disorders, Celiac Disease"
"Soup, condensed, canned, bean with pork",129,21,25,29,"D, E",Snacks,19.6,Normal weight,"Magnesium, Calcium, Zinc",General nutrition,Adults,"Alkaptonuria, GERD, HIV/AIDS"
"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean and fat, boneless, shoulder pot roast",207,47,44,25,E,Others,28.7,Overweight,"Magnesium, Zinc, Calcium",General nutrition,All ages,Autism Spectrum Disorder
"Salad dressing, lite, buttermilk",202,8,80,6,A,Breakfast,19.4,Normal weight,"Magnesium, Zinc",General nutrition,All ages,"Pancreatitis, Angelman Syndrome, Canavan Disease"
"Cereals ready-to-eat, POST Bran Flakes",328,16,50,17,"B, A, D",Others,22.2,Normal weight,"Calcium, Zinc","Sustained energy, Digestive health, Blood sugar control",Adults,Hyperglycemia
"Babyfood, dry fortified, rice, cereal",390,1,67,26,E,Others,25.8,Overweight,Magnesium,General nutrition,All ages,"None, Liver Disease, Encephalitis"
"BURGER KING, Original Chicken Sandwich",286,10,46,4,"E, A, D, C",Breakfast,24.2,Normal weight,Magnesium,General nutrition,Adults,"Dementia, Hypothyroidism"
"Milk, with added vitamin A and vitamin D, instant, nonfat, dry",358,8,87,13,A,Others,21.1,Normal weight,"Magnesium, Calcium",General nutrition,Adults,"Gaucher's Disease, None"
Ghana Salad with Green Pepper,250,5,15,18,B,Others,22.5,Normal weight,Calcium,Rich in vitamins and healthy fats,General,Heart health
"Veal, broiled, cooked, ground",172,44,0,24,D,Snacks,21.9,Normal weight,"Zinc, Calcium",General nutrition,All ages,"Diverticulitis, COPD"
"Lamb, pan-fried, cooked, brain, variety meats and by-products",273,48,95,25,"E, B",Breakfast,31.3,Obesity,Magnesium,General nutrition,Children,"Rett Syndrome, Inflammatory Bowel Disease"
"Cereals ready-to-eat, bagged cereal, Shredded Wheat, QUAKER",348,27,44,7,"C, A, E",Breakfast,20.1,Normal weight,Zinc,"Sustained energy, Digestive health, Blood sugar control",Children,"Scleroderma, Schizophrenia"
"Wheat, soft white",340,10,15,0,"D, B, C",Breakfast,17.7,Underweight,"Calcium, Magnesium",General nutrition,Adults,HIV/AIDS
"Snacks, gluten- free made with cornstarch and potato flour, Pretzels",389,39,18,4,"E, A, B, C",Others,20.1,Normal weight,Iron,General nutrition,Adults,"Thyroid Disorders, Epilepsy"
"Crackers, plain, wafers, rye",334,15,19,2,"E, B",Breakfast,18.0,Underweight,"Magnesium, Calcium, Zinc",General nutrition,Children,"Systemic Lupus Erythematosus, Congenital Heart Disease, None"
"Babyfood, strained, with eggs, cereal",58,34,92,17,"B, C, D, A",Snacks,25.8,Overweight,Magnesium,General nutrition,All ages,Encephalitis
"Sausage, smoked, with cheddar cheese, pork and beef",296,23,89,6,"B, C, D",Breakfast,21.9,Normal weight,Zinc,General nutrition,All ages,"Hemophilia, Glycogen Storage Disease, Rett Syndrome"
"Cake, fat-free, commercially prepared, pound",283,6,45,22,"D, E",Others,23.4,Normal weight,"Iron, Magnesium",General nutrition,Children,"Kidney Disease, Anorexia Nervosa"
"Chicken, original seasoning, rotisserie, cooked, meat and skin, wing, broilers or fryers",266,38,82,10,"B, D, E, C",Breakfast,27.0,Overweight,Iron,General nutrition,Adults,Hypertension
"Snacks, salt added, white popcorn, oil-popped, popcorn",500,43,19,17,B,Lunch,29.1,Overweight,"Magnesium, Iron",General nutrition,All ages,"Fibromyalgia, Bulimia Nervosa"
"Hyacinth beans, raw, mature seeds",344,42,88,15,B,Breakfast,27.5,Overweight,"Calcium, Iron, Zinc",General nutrition,Children,Canavan Disease
"Whey, fluid, acid",24,4,91,16,"C, A",Snacks,22.8,Normal weight,"Iron, Calcium",General nutrition,Children,Pancreatitis
"Toaster Pastries, Frosted raspberry, KELLOGG'S POP TARTS, KELLOGG",399,1,42,5,"E, C, A, B",Others,24.8,Normal weight,"Calcium, Iron, Magnesium",General nutrition,Adults,"Tuberculosis, Cataracts, Anemia"
"Lamb, braised, cooked, trimmed to 1/4"" fat, separable lean only, cubed for stew or kabob (leg and shoulder), domestic",223,4,75,12,B,Others,18.6,Normal weight,"Zinc, Iron, Calcium",General nutrition,Old age,"Pelvic Inflammatory Disease, Ehlers-Danlos Syndrome"
"Cereals ready-to-eat, Honey Nut O's, CASCADIAN FARM",371,11,31,10,"D, E, B",Breakfast,21.6,Normal weight,"Calcium, Magnesium, Iron","Sustained energy, Digestive health, Blood sugar control",Children,"Scleroderma, Hemophilia, Hyperthyroidism"
"Chicken, roasted, cooked, skin only, broilers or fryers",454,8,59,21,"A, D, C, B",Others,23.1,Normal weight,"Calcium, Zinc, Iron",General nutrition,Old age,"Sepsis, Kidney Disease"
"Turkey, simmered, cooked, all classes, liver",189,27,71,4,"E, C, B",Snacks,19.4,Normal weight,"Iron, Calcium, Magnesium",General nutrition,Children,"Eating Disorders, Schizophrenia"
"Lamb, braised, cooked, separable lean and fat, boneless, flap, imported, New Zealand",376,16,59,19,"A, E, D, C",Others,20.2,Normal weight,"Magnesium, Iron",General nutrition,Children,"Alzheimer's Disease, Polycystic Ovary Syndrome (PCOS), Gaucher's Disease"
"Cheese, queso anejo, mexican",373,49,69,14,"C, A, E, D",Breakfast,26.3,Overweight,"Calcium, Magnesium",General nutrition,Adults,Raynaud's Disease
"Lamb, braised, cooked, spleen, variety meats and by-products",156,48,52,10,A,Snacks,25.8,Overweight,"Zinc, Magnesium, Iron",General nutrition,All ages,"Sleep Apnea, Arthritis, Gaucher's Disease"
"Dutch brand loaf, pork and beef, chicken",273,31,0,11,"D, B, A",Others,24.7,Normal weight,"Calcium, Iron, Magnesium",General nutrition,Old age,"Eczema, High Cholesterol"
"Chicken, roasted, cooked, with added solution, meat only, drumstick, dark meat",146,3,29,6,D,Snacks,17.7,Underweight,"Magnesium, Calcium, Zinc",General nutrition,Children,Ovarian Cancer
"Lamb, braised, cooked, choice, trimmed to 1/4"" fat, separable lean and fat, whole (arm and blade), shoulder, domestic",344,6,22,28,"C, E, B",Others,23.3,Normal weight,Iron,General nutrition,Old age,"Asthma, Maple Syrup Urine Disease, Mucopolysaccharidosis"
"Beef, broiled, cooked, select, trimmed to 1/8"" fat, separable lean and fat, whole (ribs 6-12), rib",315,20,13,21,"C, A, B",Others,18.8,Normal weight,"Zinc, Calcium, Iron",General nutrition,Children,"Epilepsy, Scleroderma, Sleep Apnea"
"Cheese, blue",353,22,21,5,C,Others,18.7,Normal weight,Zinc,General nutrition,Adults,"Gallstones, Seizure Disorders, Ovarian Cancer"
"Yogurt, CHOBANI, strawberry, nonfat, Greek",80,27,11,29,"C, E",Snacks,19.3,Normal weight,"Zinc, Magnesium",General nutrition,Adults,"Ulcers, Anorexia Nervosa"
"Nuts, english, walnuts",654,4,59,0,"C, E",Others,24.0,Normal weight,"Calcium, Magnesium, Zinc","Heart health, Weight management, Brain function",Old age,"Hypertension, Neurofibromatosis"
"Milk, with added vitamin A and vitamin D, reduced fat, commercial, fluid, chocolate",76,17,98,7,"E, D, B, C",Snacks,20.1,Normal weight,"Calcium, Iron, Zinc",General nutrition,Adults,"Polycystic Ovary Syndrome (PCOS), Breast Cancer, Kidney Disease"
"Cookies, with creme filling, vanilla sandwich, gluten-free",493,0,9,10,"A, E",Others,17.5,Underweight,"Iron, Zinc",General nutrition,All ages,"Canavan Disease, Lymphoma, Scleroderma"
"KELLOGG'S, Original 3-Bean Chips, BEANATURAL",487,32,67,15,D,Lunch,26.6,Overweight,Calcium,General nutrition,Children,Anemia
"Parsley, fresh",36,14,67,7,"C, B",Snacks,20.3,Normal weight,Iron,General nutrition,Old age,"Asthma, Diabetes, Congenital Heart Disease"
"Lamb, fast roasted, cooked, separable lean and fat, loin saddle, imported, New Zealand",274,23,30,4,"E, A",Breakfast,22.1,Normal weight,"Magnesium, Calcium, Zinc",General nutrition,Old age,Macular Degeneration
"Snacks, yogurt covered with vitamin C, candy bits",415,2,67,14,"D, E, C, A",Others,20.6,Normal weight,Zinc,General nutrition,Children,Kidney Disease
"Turkey sausage, raw, fresh",155,1,2,13,"D, A, C",Snacks,16.0,Underweight,"Magnesium, Iron, Calcium",General nutrition,Adults,Post-Traumatic Stress Disorder (PTSD)
"Cereals ready-to-eat, Wheat CHEX, GENERAL MILLS",345,7,17,20,"D, E",Others,20.2,Normal weight,"Magnesium, Calcium","Sustained energy, Digestive health, Blood sugar control",Children,Congenital Heart Disease
"Snack, original bar, BALANCE",415,46,9,11,"A, C, D",Lunch,19.3,Normal weight,"Calcium, Iron",General nutrition,Children,"Hemophilia, Obesity"
"Parsnips, without salt, drained, boiled, cooked",71,19,74,19,"B, C, A, E",Snacks,21.4,Normal weight,"Calcium, Zinc",General nutrition,Children,Thalassemia
"KEEBLER, bite size, Rainbow Chocolate Chip Cookies, CHIPS DELUXE",505,46,84,19,"E, B, D, A",Lunch,37.8,Obesity,"Zinc, Iron",General nutrition,Adults,"Asthma, Prader-Willi Syndrome, Lymphoma"
"MORNINGSTAR FARMS Tuscan Greens & Beans, unprepared, frozen",112,16,47,7,B,Snacks,19.1,Normal weight,"Magnesium, Iron",General nutrition,Children,"Depression, HIV/AIDS, Kidney Disease"
"Beef, raw, select, trimmed to 1/8"" fat, separable lean only, lip-on, boneless, top loin steak, loin",135,26,64,27,"B, D, C",Snacks,26.4,Overweight,Iron,General nutrition,All ages,"Sleep Apnea, Systemic Lupus Erythematosus"
"Beans, without salt, boiled, cooked, mature seeds, pinto",143,37,17,1,"E, C, B, A",Snacks,19.1,Normal weight,"Magnesium, Zinc, Calcium",General nutrition,Adults,Cancer
"Pork, raw, separable lean only, whole, shoulder, fresh",148,29,31,10,"B, E, D, C",Snacks,20.2,Normal weight,Calcium,General nutrition,Adults,Addison's Disease
"Turkey, roasted, meat only, from whole bird, thigh",165,2,24,18,D,Snacks,22.4,Normal weight,"Magnesium, Iron",General nutrition,Old age,GERD
"Cereals, with salt, cooked with water, enriched, quick, regular, yellow, corn grits",65,26,10,9,"D, E, A",Snacks,22.3,Normal weight,"Iron, Calcium","Sustained energy, Digestive health, Blood sugar control",Old age,"Prader-Willi Syndrome, Alkaptonuria, Sickle Cell Anemia"
"Mung beans, without salt, boiled, cooked, mature seeds",105,39,59,4,"C, E",Snacks,23.5,Normal weight,"Calcium, Magnesium, Iron",General nutrition,All ages,Acromegaly
"Pork, unheated, separable fat (from ham and arm picnic), cured",579,5,24,28,"E, C, A, D",Others,20.3,Normal weight,Iron,General nutrition,Adults,"Hemophilia, Neurofibromatosis"
"Beef, broiled, cooked, choice, trimmed to 0"" fat, separable lean and fat, steak, flank",202,34,99,9,D,Breakfast,25.1,Overweight,"Iron, Calcium",General nutrition,Old age,Maple Syrup Urine Disease
"Spices, dried, thyme",276,32,87,20,"D, B, E",Breakfast,29.2,Overweight,"Magnesium, Calcium",General nutrition,Children,"Lung Cancer, Celiac Disease"
"Salad dressing, KRAFT MIRACLE WHIP FREE Nonfat Dressing",84,8,98,7,C,Snacks,24.8,Normal weight,"Magnesium, Calcium, Iron",General nutrition,Adults,Hyperglycemia
"Artichokes, with salt, drained, boiled, cooked, (globe or french)",51,11,61,21,"D, B, A, C",Snacks,20.7,Normal weight,"Iron, Zinc, Magnesium",General nutrition,Children,"Cancer, Chronic Fatigue Syndrome"
"Cereals ready-to-eat, GRAPE-NUTS Cereal, POST",361,4,96,14,"B, A, C, D",Others,22.1,Normal weight,"Iron, Magnesium","Sustained energy, Digestive health, Blood sugar control",Adults,Alzheimer's Disease
