food_name,serving_size (g),calories (kcal),protein (g),carbohydrates (g),fats(g),vitamins,minerals,health_benefits,suitable_age_group,health_condition_considerations
"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, whole, brisket",100.0,251.0,47.0,53.0,22.0,"B, A, D, C","Iron, Zinc",General nutrition,Adults,Cancer
"Turkey, roasted, skin from whole (light and dark)",100.0,459.0,44.0,42.0,20.0,"A, D, C",Magnesium,General nutrition,Adults,Sjogren's Syndrome
"Broadbeans, without salt, drained, boiled, cooked, immature seeds",100.0,62.0,18.0,42.0,0.0,E,"Zinc, Iron, Calcium",General nutrition,Children,"Menopause, Cancer, Bipolar Disorder"
"Fish, dry heat, cooked, mixed species, eel",100.0,236.0,34.0,27.0,28.0,"A, D, C, E","Magnesium, Iron, Calcium","Brain development, Joint health, Mood improvement",All ages,"Galactosemia, Dementia"
"Turkey and gravy, frozen",100.0,67.0,38.0,36.0,18.0,"A, E","Magnesium, Iron, Zinc",General nutrition,Children,"Anorexia Nervosa, Skin Cancer, Acromegaly"
"Bologna, lite, pork and turkey",100.0,211.0,13.0,1.0,7.0,E,"Magnesium, Zinc",General nutrition,Old age,"Multiple Sclerosis, Menopause"
"Corn, solids and liquids, regular pack, brine pack, canned, yellow, sweet",100.0,61.0,13.0,82.0,5.0,"A, D, C, E",Iron,General nutrition,Old age,Sjogren's Syndrome
"Turkey sausage, cooked, fresh",100.0,196.0,17.0,62.0,10.0,"E, D, B, C","Magnesium, Zinc",General nutrition,All ages,Glaucoma
"USDA Commodity, cooked, frozen, turkey taco meat",100.0,148.0,44.0,55.0,3.0,"B, D, E","Iron, Magnesium, Zinc",General nutrition,All ages,"Encephalitis, Attention Deficit Hyperactivity Disorder (ADHD), Multiple Sclerosis"
"CAMPBELL'S CHUNKY Soups, Beef Rib Roast with Potatoes & Herbs Soup",100.0,44.0,7.0,65.0,11.0,"B, E, D",Calcium,General nutrition,Old age,"Systemic Lupus Erythematosus, Osteoporosis, Diverticulitis"
Vegetarian fillets,100.0,290.0,27.0,36.0,1.0,A,"Iron, Magnesium, Zinc",General nutrition,All ages,Cancer
"Infant formula, with ARA and DHA, powder, PROSOBEE LIPIL, NEXT STEP, MEAD JOHNSON",100.0,480.0,38.0,26.0,11.0,A,"Magnesium, Calcium",General nutrition,All ages,Raynaud's Disease
"Succotash, raw, (corn and limas)",100.0,99.0,47.0,6.0,5.0,A,"Zinc, Magnesium",General nutrition,Old age,Hyperoxaluria
"Beef, fast fried, cooked, separable lean and fat, rump centre, imported, New Zealand",100.0,192.0,29.0,98.0,7.0,"D, A, C","Zinc, Iron",General nutrition,All ages,"Cystinosis, Prader-Willi Syndrome"
"Cookies, cake-type (includes trolley cakes), fudge",100.0,349.0,0.0,88.0,5.0,"E, D","Zinc, Magnesium, Calcium",General nutrition,Adults,"Tay-Sachs Disease, Obesity"
"Infant formula, prepared from powder, with iron, PREGESTIMIL, MEAD JOHNSON",100.0,67.0,14.0,94.0,21.0,"A, E, B","Magnesium, Iron, Calcium",General nutrition,All ages,"Gallstones, Zellweger Spectrum Disorder, Pelvic Inflammatory Disease"
"Soup, condensed, canned, chicken with rice",100.0,68.0,19.0,74.0,9.0,"D, B, C",Magnesium,General nutrition,Children,Ornithine Transcarbamylase Deficiency
"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, under blade pot roast, chuck",100.0,216.0,26.0,5.0,24.0,"C, E, B","Magnesium, Zinc",General nutrition,All ages,"HIV/AIDS, Sickle Cell Anemia"
"KFC, meat and skin with breading, Drumstick, EXTRA CRISPY, Fried Chicken",100.0,274.0,46.0,17.0,2.0,"D, E, C","Iron, Magnesium, Zinc",General nutrition,Children,Thalassemia
"Puddings, prepared with whole milk, regular, dry mix, chocolate",100.0,120.0,14.0,95.0,13.0,B,"Magnesium, Zinc",General nutrition,Old age,Glycogen Storage Disease
"Babyfood, strained, ham, meat",100.0,97.0,30.0,88.0,14.0,"B, A, C, D",Iron,General nutrition,All ages,"Mucopolysaccharidosis, Malnutrition, Lung Cancer"
"Cereals ready-to-eat, KELLOGG'S CINNABON cereal, KELLOGG",100.0,410.0,16.0,80.0,3.0,D,"Zinc, Magnesium","Sustained energy, Digestive health, Blood sugar control",Children,"Ovarian Cancer, Cystitis"
"Bread, frozen, commercially prepared, whole wheat, paratha",100.0,326.0,42.0,14.0,27.0,"C, A","Zinc, Iron",General nutrition,All ages,"Parkinson's Disease, Diverticulitis, Sjogren's Syndrome"
"Chicken, batter, fried, cooked, meat and skin, drumstick, broilers or fryers",100.0,268.0,9.0,21.0,28.0,"E, B, D, A","Iron, Calcium",General nutrition,Adults,COPD
"Turkey, raw, with added solution, meat only, from whole bird, wing",100.0,102.0,15.0,10.0,21.0,"A, D, E, B",Calcium,General nutrition,Children,"Glaucoma, Hepatitis"
Abomu (Corn and Cassava),100.0,420.0,12.0,65.0,15.0,D,Calcium,High in carbs,moderate protein,General
"Game meat , raw, ground, bison",100.0,223.0,14.0,44.0,0.0,"B, C, D","Iron, Calcium, Magnesium",General nutrition,Children,Ovarian Cancer
"Margarine-like spread, SMART BALANCE Light Buttery Spread",100.0,337.0,5.0,10.0,13.0,D,"Iron, Zinc",General nutrition,Old age,"Thalassemia, Seizure Disorders, Cystinosis"
"Cereals ready-to-eat, HONEY NUT CHEERIOS, GENERAL MILLS",100.0,376.0,7.0,33.0,24.0,"D, A, B","Zinc, Iron","Sustained energy, Digestive health, Blood sugar control",Adults,"Cataracts, Ovarian Cancer"
"Shortening confectionery, coconut (hydrogenated) and or palm kernel (hydrogenated)",100.0,884.0,9.0,63.0,9.0,"E, B, D","Zinc, Calcium",General nutrition,Old age,"Polycystic Ovary Syndrome (PCOS), Ehlers-Danlos Syndrome, Lung Cancer"
Tamales (Navajo),100.0,153.0,12.0,54.0,4.0,"E, A",Calcium,General nutrition,Adults,"Systemic Lupus Erythematosus, GERD"
"Lamb, raw, separable lean and fat, composite of trimmed retail cuts, frozen, imported, New Zealand",100.0,277.0,30.0,57.0,23.0,"D, A, B, E","Iron, Zinc, Magnesium",General nutrition,Adults,Meningitis
"Veal, raw, separable lean only, sirloin",100.0,110.0,40.0,75.0,0.0,"A, C, D, E","Magnesium, Iron, Calcium",General nutrition,Adults,Alkaptonuria
"SUPPER BAKES MEAL KITS, Herb Chicken with rice (chicken not included)",100.0,197.0,32.0,51.0,5.0,D,"Magnesium, Calcium, Iron",General nutrition,Old age,"Acromegaly, Ovarian Cancer"
"Veal, raw, tongue, variety meats and by-products",100.0,131.0,43.0,67.0,21.0,"A, E, B","Calcium, Iron, Magnesium",General nutrition,Old age,"Kidney Disease, Irritable Bowel Syndrome"
"Cowpeas (blackeyes), without salt, drained, boiled, cooked, frozen, immature seeds",100.0,132.0,16.0,22.0,7.0,"E, B",Zinc,General nutrition,Old age,"Lung Cancer, Ulcerative Colitis, Multiple Sclerosis"
"Beans, liquid from stewed kidney beans",100.0,47.0,18.0,57.0,22.0,"C, E, D, B",Zinc,General nutrition,Adults,"Obesity, Canavan Disease, Leigh Syndrome"
Okro Soup with Banku,100.0,380.0,12.0,55.0,10.0,D,Zinc,High fiber,protein-rich,General
"Winged beans, raw, immature seeds",100.0,49.0,29.0,25.0,14.0,"A, C, E, B","Calcium, Zinc, Magnesium",General nutrition,Children,"Gallstones, Alzheimer's Disease, Bipolar Disorder"
"Pork, raw, separable lean and fat, whole, loin, fresh",100.0,198.0,2.0,3.0,7.0,"A, B, E","Magnesium, Iron, Zinc",General nutrition,All ages,Tuberculosis
"Pork, roasted, canned, extra lean (approximately 4% fat), ham, cured",100.0,136.0,48.0,64.0,10.0,"E, C, A","Iron, Magnesium",General nutrition,Old age,"Parkinson's Disease, Chronic Fatigue Syndrome, Alzheimer's Disease"
"Beef, raw, Aust. marble score 9, separable lean only, boneless, tenderloin steak/roast, loin, Wagyu, imported, Australian",100.0,237.0,33.0,34.0,1.0,"E, A, B","Magnesium, Zinc",General nutrition,Adults,Prostate Cancer
"Cream, cultured, reduced fat, sour",100.0,135.0,10.0,72.0,12.0,"C, E",Magnesium,General nutrition,Children,"HIV/AIDS, Heart Disease, Bulimia Nervosa"
Octopus (Alaska Native),100.0,56.0,19.0,91.0,8.0,"E, C","Iron, Zinc, Calcium",General nutrition,Children,"Chronic Fatigue Syndrome, Meningitis"
"Salad dressing, fat-free, ranch dressing",100.0,119.0,18.0,45.0,26.0,B,Iron,General nutrition,Children,Diverticulitis
"Soymilk, unfortified, chocolate",100.0,63.0,30.0,0.0,3.0,A,Magnesium,General nutrition,Adults,Ovarian Cancer
"Babyfood, toddlers, mashed cheddar potatoes and broccoli",100.0,48.0,17.0,85.0,9.0,D,"Magnesium, Iron, Calcium",General nutrition,Adults,Cystic Fibrosis
"Crackers, with cheese filling, sandwich, standard snack-type",100.0,477.0,42.0,13.0,26.0,"E, B, A, D","Calcium, Iron",General nutrition,All ages,Hyperglycemia
"Ground turkey, raw, fat free",100.0,112.0,23.0,50.0,23.0,"C, D, A, E",Zinc,General nutrition,Children,"Sepsis, Lymphoma, Phenylketonuria"
"DIGIORNO Pizza, baked, frozen, rising crust, cheese topping",100.0,256.0,8.0,27.0,9.0,"D, C, A",Zinc,General nutrition,All ages,"Obesity, Fibromyalgia, Ornithine Transcarbamylase Deficiency"
"Candies, M&M's Peanut Chocolate Candies, MARS SNACKFOOD US",100.0,515.0,4.0,30.0,10.0,"E, A, C","Magnesium, Iron, Calcium",General nutrition,All ages,"Anemia, Maple Syrup Urine Disease, Fibromyalgia"
"Lamb, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, whole (arm and blade), shoulder, domestic",100.0,269.0,2.0,67.0,11.0,"D, C","Iron, Magnesium, Zinc",General nutrition,Old age,Rett Syndrome
"Thuringer, pork, beef, summer sausage, cervelat",100.0,362.0,24.0,20.0,26.0,E,"Calcium, Iron",General nutrition,Old age,"Eating Disorders, Galactosemia, Obesity"
"Lamb, slow roasted, cooked, separable lean only, shank off, chump off, tunnel-boned leg, imported, New Zealand",100.0,159.0,36.0,48.0,8.0,"D, B","Zinc, Magnesium",General nutrition,Children,Maple Syrup Urine Disease
"Beef, raw, separable lean and fat, boneless, top loin steak/roast, loin, grass-fed, imported, Australian",100.0,199.0,3.0,67.0,23.0,"B, E, D, C",Iron,General nutrition,Old age,"Wilson's Disease, Anxiety"
"Cereals, dry, cherry pistachio, REAL MEDLEYS, oatmeal, QUAKER",100.0,394.0,7.0,74.0,5.0,"B, C","Calcium, Iron","Sustained energy, Digestive health, Blood sugar control",Children,"Leigh Syndrome, Ulcerative Colitis, Cystinosis"
"KASHI, Roasted Garlic, H2H Woven Wheat Cracker",100.0,440.0,29.0,79.0,11.0,"C, D","Iron, Zinc, Calcium",General nutrition,Children,Rett Syndrome
"Cereals ready-to-eat, Raspberry, KELLOGG'S FROSTED MINI-WHEATS Touch of Fruit in the Middle",100.0,342.0,40.0,72.0,2.0,B,Zinc,"Antioxidant boost, Immune support, Skin health",Adults,"Glaucoma, Gallstones, Multiple Sclerosis"
"CAMPBELL'S CHUNKY Soups, Baked Potato with Cheddar & Bacon Bits Soup",100.0,78.0,3.0,41.0,18.0,"C, E",Iron,General nutrition,Children,Crohn's Disease
"Beef, broiled, cooked, USDA select, trimmed to 0"" fat, separable lean and fat, mock tender steak, chuck",100.0,159.0,38.0,89.0,18.0,"C, E, D","Magnesium, Calcium",General nutrition,Old age,"Lactose Intolerance, Chronic Pain"
"Cereals ready-to-eat, POST GREAT GRAINS Cranberry Almond Crunch",100.0,384.0,34.0,38.0,17.0,"D, A, C, B","Zinc, Calcium, Magnesium","Sustained energy, Digestive health, Blood sugar control",Adults,Fibromyalgia
"Pork, roasted, heated, separable lean only, bone-in, shank, ham and water product, cured",100.0,132.0,42.0,56.0,15.0,"D, B, E","Calcium, Zinc, Magnesium",General nutrition,Children,"Phenylketonuria, Bulimia Nervosa"
"Lima beans, raw, mature seeds, large",100.0,338.0,14.0,59.0,22.0,"C, B, E","Zinc, Magnesium",General nutrition,Children,Binge Eating Disorder
"Yogurt, lowfat, vanilla, Greek",100.0,95.0,0.0,59.0,10.0,"C, E, A","Iron, Magnesium",General nutrition,Old age,"Chronic Pain, Anemia, Heart Disease"
"KASHI, Original 7-Grain Crackers, TLC",100.0,385.0,33.0,96.0,26.0,C,Iron,"Sustained energy, Digestive health, Blood sugar control",Adults,"Cystic Fibrosis, Leigh Syndrome"
"Lamb, roasted, cooked, choice, trimmed to 1/4"" fat, separable lean only, whole (shank and sirloin), leg, domestic",100.0,191.0,14.0,55.0,14.0,D,Calcium,General nutrition,Old age,"Raynaud's Disease, Myeloma, Skin Cancer"
"CARRABBA'S ITALIAN GRILL, lasagne",100.0,191.0,16.0,50.0,10.0,"C, D, A, E","Zinc, Iron",General nutrition,Adults,Pancreatitis
"Fast foods, and ranch sauce, cheese, with lettuce, crispy chicken in tortilla",100.0,275.0,48.0,59.0,1.0,B,"Zinc, Iron, Calcium",General nutrition,Old age,"Celiac Disease, Polycystic Ovary Syndrome (PCOS), Prostate Cancer"
"Falafel, home-prepared",100.0,333.0,20.0,51.0,28.0,"C, D, B","Zinc, Magnesium, Iron",General nutrition,Old age,"Depression, Arthritis, Tay-Sachs Disease"
"Beef, roasted, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, boneless, top loin petite roast",100.0,228.0,18.0,54.0,4.0,B,"Zinc, Magnesium",General nutrition,All ages,High Cholesterol
"Snacks, unsalted, multigrain, brown rice, rice cakes",100.0,387.0,18.0,72.0,8.0,D,"Magnesium, Iron",General nutrition,All ages,"Cushing's Syndrome, Ulcerative Colitis, Diabetes"
"Fish, raw, american, shad",100.0,197.0,38.0,61.0,9.0,"A, D","Zinc, Calcium, Iron","Brain development, Joint health, Mood improvement",All ages,"Anemia, Chronic Pain, Hyperglycemia"
"Bread, enriched (includes corn muffin mix), dry mix, cornbread",100.0,418.0,28.0,56.0,22.0,"A, E, B",Iron,General nutrition,Old age,"Scleroderma, Depression"
"KEEBLER, Sea Salt and Olive Oil Crackers, FLATBREAD CRISPS, TOWN HOUSE",100.0,443.0,11.0,89.0,12.0,"C, A, E",Iron,General nutrition,All ages,"Anemia, Obesity"
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, boneless, chuck eye steak",100.0,216.0,22.0,37.0,1.0,"D, A, C, B",Zinc,General nutrition,Children,Gaucher's Disease
"SILK Plus Omega-3 DHA, soymilk",100.0,45.0,21.0,12.0,28.0,E,"Magnesium, Zinc, Iron",General nutrition,All ages,Dementia
"CHICK-FIL-A, chicken sandwich",100.0,249.0,1.0,54.0,6.0,C,Magnesium,General nutrition,Old age,"Anemia, Parkinson's Disease"
"Milk, lowfat, cultured, fluid, buttermilk",100.0,40.0,18.0,99.0,5.0,"E, B, C, D","Zinc, Iron, Calcium",General nutrition,Adults,"Attention Deficit Hyperactivity Disorder (ADHD), Binge Eating Disorder, Gaucher's Disease"
Braised Goat with Plantains,100.0,480.0,25.0,50.0,15.0,A,Zinc,High protein,iron-rich,Adults
"Turkey, roasted, with added solution, meat only, from whole bird, drumstick",100.0,158.0,49.0,79.0,5.0,"B, C","Magnesium, Calcium, Iron",General nutrition,Old age,Maple Syrup Urine Disease
HOUSE FOODS Premium Firm Tofu,100.0,85.0,36.0,66.0,2.0,"A, B, C, E","Zinc, Iron, Calcium",General nutrition,Adults,"Gaucher's Disease, Ulcerative Colitis"
"Cookies, commercially prepared, brownies",100.0,405.0,41.0,42.0,14.0,"A, C","Magnesium, Iron",General nutrition,Old age,"Chronic Pain, Meningitis"
"Restaurant, hash browns, family style",100.0,197.0,27.0,39.0,2.0,"C, D, E","Calcium, Iron, Zinc",General nutrition,Children,"Hyperthyroidism, Sickle Cell Anemia, Congenital Heart Disease"
"Beef, roasted, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, small end (ribs 10-12), rib",100.0,341.0,31.0,1.0,18.0,"E, D, A, B","Magnesium, Calcium, Iron",General nutrition,Children,"Endometriosis, Polycystic Ovary Syndrome (PCOS)"
"Fast Food, thin crust, pepperoni topping, 14"" pizza, Pizza Chain",100.0,331.0,30.0,78.0,8.0,"B, D, C","Magnesium, Zinc",General nutrition,Old age,"Macular Degeneration, Anorexia Nervosa"
"Turkey, deli cut, rotisserie, white",100.0,112.0,14.0,66.0,6.0,D,Magnesium,General nutrition,Old age,Lung Cancer
"Snacks, made with partially hydrogenated oil, regular (butter) flavor, microwave, popcorn",100.0,557.0,17.0,97.0,27.0,D,Calcium,General nutrition,Children,Ornithine Transcarbamylase Deficiency
"Crackers, whole-wheat, matzo",100.0,351.0,40.0,79.0,17.0,"A, D, E","Zinc, Iron",General nutrition,All ages,"Congenital Heart Disease, Tay-Sachs Disease, Wilson's Disease"
Hausa Koko with Hausa Koko Mix,100.0,300.0,5.0,50.0,10.0,C,Magnesium,Energy boost,promotes digestion,General
"Peas, unprepared, frozen, green",100.0,77.0,17.0,21.0,18.0,D,Zinc,General nutrition,Old age,"Lymphoma, Food Allergies"
"CAMPBELL'S CHUNKY Microwavable Bowls, ready-to-serve, New England Clam Chowder",100.0,82.0,46.0,64.0,22.0,"D, B, C, A","Iron, Calcium, Zinc",General nutrition,All ages,"Prader-Willi Syndrome, Cystinosis, Hemochromatosis"
"Beef, grilled, cooked, choice, trimmed to 1/8"" fat, separable lean only, porterhouse steak, short loin",100.0,221.0,5.0,81.0,3.0,E,"Zinc, Magnesium, Iron",General nutrition,All ages,"Inflammatory Bowel Disease, Hyperoxaluria, Gallstones"
"Fish, dry heat, cooked, carp",100.0,162.0,32.0,17.0,19.0,"B, C",Magnesium,"Brain development, Joint health, Mood improvement",Children,Polycystic Ovary Syndrome (PCOS)
"Babyfood, strained, turkey, meat",100.0,111.0,48.0,54.0,14.0,C,"Zinc, Iron, Magnesium",General nutrition,Old age,"Skin Cancer, Macular Degeneration, Lactose Intolerance"
"Cheese, muenster",100.0,368.0,48.0,55.0,3.0,"E, B","Calcium, Magnesium, Iron",General nutrition,All ages,"Binge Eating Disorder, None, Ulcerative Colitis"
"SILK Unsweetened, soymilk",100.0,33.0,47.0,85.0,20.0,"D, E, C",Zinc,General nutrition,Children,Neurofibromatosis
"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, top round roast, round",100.0,162.0,36.0,8.0,21.0,"D, A","Iron, Zinc",General nutrition,Old age,"Ulcerative Colitis, Neurofibromatosis"
"Ostrich, cooked, outside strip",100.0,156.0,42.0,15.0,20.0,"E, A, C",Zinc,General nutrition,Children,Multiple Sclerosis
"GLUTINO, Milk Chocolate, Gluten Free Wafers",100.0,541.0,46.0,15.0,27.0,"B, E",Calcium,General nutrition,Adults,"Gaucher's Disease, Kidney Disease, Obesity"
"Cereals, dry, peach almond, REAL MEDLEYS, oatmeal, QUAKER",100.0,387.0,21.0,67.0,6.0,"B, C, A","Zinc, Magnesium, Iron","Sustained energy, Digestive health, Blood sugar control",Adults,Eczema
"Fish, dry heat, cooked, spot",100.0,158.0,6.0,5.0,26.0,"C, D, B","Zinc, Calcium","Brain development, Joint health, Mood improvement",Children,"Kidney Disease, Breast Cancer"
"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, whole (arm and blade), shoulder, frozen, imported, New Zealand",100.0,251.0,18.0,45.0,0.0,"E, A",Zinc,General nutrition,All ages,Polycystic Ovary Syndrome (PCOS)
"Danish pastry, enriched, cinnamon",100.0,403.0,24.0,94.0,21.0,D,Iron,General nutrition,Old age,Attention Deficit Hyperactivity Disorder (ADHD)
"Seeds, dried, pumpkin and squash seed kernels",100.0,559.0,19.0,18.0,4.0,"B, A, D, E","Zinc, Calcium","Heart health, Weight management, Brain function",Children,"Leukemia, Skin Cancer"
"Ostrich, raw, outside leg",100.0,115.0,35.0,95.0,5.0,D,Magnesium,General nutrition,Children,Canavan Disease
"Beef, braised, cooked, separable lean and fat, flank, imported, New Zealand",100.0,208.0,27.0,97.0,9.0,"C, D, B","Magnesium, Calcium",General nutrition,All ages,"Marfan Syndrome, Parkinson's Disease"
"Salad dressing, fat-free, italian dressing",100.0,47.0,35.0,99.0,20.0,"A, B","Calcium, Magnesium, Zinc",General nutrition,Old age,"Parkinson's Disease, Bulimia Nervosa"
"Infant Formula, ready-to-feed, GENTLE PLUS, GERBER GOOD START 2",100.0,66.0,17.0,87.0,22.0,"E, D, C, A","Calcium, Iron",General nutrition,All ages,"Sleep Apnea, Obesity, Polycystic Ovary Syndrome (PCOS)"
"Bread, toasted (includes whole-grain), multi-grain",100.0,288.0,38.0,44.0,25.0,"D, B","Calcium, Iron, Zinc",General nutrition,All ages,Hyperglycemia
"Fish, raw (Alaska Native), sockeye (red), salmon",100.0,153.0,12.0,40.0,12.0,"E, B, D, A","Magnesium, Calcium","Brain development, Joint health, Mood improvement",Children,"Congenital Heart Disease, Wilson's Disease"
"Soup, condensed, canned, cream of mushroom",100.0,79.0,49.0,86.0,6.0,A,Iron,General nutrition,Adults,"Chronic Fatigue Syndrome, Ulcers"
"Nuts, peeled, raw, european, chestnuts",100.0,196.0,21.0,17.0,14.0,"B, D, A, E","Magnesium, Zinc, Calcium","Heart health, Weight management, Brain function",Adults,COPD
"Cheese, gouda",100.0,356.0,0.0,36.0,11.0,"C, B","Zinc, Calcium",General nutrition,Adults,"Anemia, Angelman Syndrome"
"Ice creams, All Natural Light French Chocolate, BREYERS",100.0,201.0,21.0,16.0,12.0,E,"Magnesium, Calcium",General nutrition,Adults,HIV/AIDS
"Mothbeans, without salt, boiled, cooked, mature seeds",100.0,117.0,38.0,12.0,18.0,D,"Calcium, Magnesium",General nutrition,All ages,"Glycogen Storage Disease, High Cholesterol"
"Cereals ready-to-eat, Frosted Mini SPOONERS, MALT-O-MEAL",100.0,354.0,33.0,5.0,20.0,D,"Iron, Zinc, Calcium","Sustained energy, Digestive health, Blood sugar control",Children,Raynaud's Disease
"KEEBLER, KEEBLER Chocolate Graham SELECTS",100.0,465.0,33.0,89.0,18.0,"B, D, A, C","Zinc, Calcium, Iron",General nutrition,Children,"Mucopolysaccharidosis, COPD, Zellweger Spectrum Disorder"
"Cookies, sugar free, dry mix, brownies",100.0,426.0,26.0,44.0,4.0,"B, C, D, A","Iron, Calcium",General nutrition,Adults,"Alkaptonuria, Leukemia, Ovarian Cancer"
"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, whole (ribs 6-12), rib",100.0,306.0,4.0,79.0,0.0,"A, E","Zinc, Iron, Calcium",General nutrition,Children,Macular Degeneration
"Cereals ready-to-eat, plain, toasted, wheat germ",100.0,382.0,18.0,91.0,19.0,"E, D",Iron,"Sustained energy, Digestive health, Blood sugar control",All ages,"Leukemia, Heart Disease"
"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, Denver Cut, boneless, under blade center steak, chuck",100.0,182.0,48.0,45.0,27.0,"A, B, D","Magnesium, Zinc",General nutrition,All ages,"Scleroderma, Diverticulitis, Marfan Syndrome"
"FAMOUS AMOS, Chocolate Chip Pecan Cookies",100.0,519.0,22.0,78.0,10.0,"D, A","Iron, Zinc",General nutrition,Children,"Eczema, Prader-Willi Syndrome"
"Fish, smoked, mixed species, whitefish",100.0,108.0,35.0,89.0,19.0,"D, E","Magnesium, Zinc","Brain development, Joint health, Mood improvement",Old age,"Diabetes, Asthma"
"Crustaceans, made from surimi, imitation, mixed species, shrimp",100.0,101.0,49.0,44.0,12.0,A,Zinc,General nutrition,Adults,"Diabetes, Glycogen Storage Disease, Asthma"
"Pork, raw, separable lean only, whole, loin, fresh",100.0,143.0,17.0,73.0,9.0,D,"Magnesium, Iron",General nutrition,Adults,"Obesity, Hyperthyroidism, Congenital Heart Disease"
"Beef, roasted, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, whole (ribs 6-12), rib",100.0,365.0,6.0,12.0,29.0,A,Magnesium,General nutrition,Children,"Hyperglycemia, Attention Deficit Hyperactivity Disorder (ADHD), Liver Disease"
"Chicken, braised, cooked, with added solution, meat only, drumstick, dark meat",100.0,149.0,7.0,89.0,10.0,A,"Calcium, Iron, Magnesium",General nutrition,Old age,"Gout, Hyperthyroidism, Hypothyroidism"
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean only, lip-on, boneless, top loin steak, loin",100.0,149.0,29.0,33.0,6.0,"B, D, A","Iron, Magnesium, Zinc",General nutrition,Old age,"Endometriosis, Autism Spectrum Disorder"
"Fish, dry heat, cooked, ocean, pout",100.0,102.0,28.0,69.0,24.0,"D, E, C, B",Zinc,"Brain development, Joint health, Mood improvement",Children,Pelvic Inflammatory Disease
"Cowpeas, plain, canned, mature seeds, common (blackeyes, crowder, southern)",100.0,77.0,4.0,94.0,19.0,"B, D, C","Magnesium, Zinc",General nutrition,Adults,"Hemochromatosis, Sepsis, Chronic Fatigue Syndrome"
"Pasta, unenriched, dry",100.0,371.0,15.0,61.0,25.0,E,"Calcium, Magnesium",General nutrition,Old age,"Parkinson's Disease, Bulimia Nervosa, Endometriosis"
"Ice creams, Chocolate Caramel, No Sugar Added, BREYERS",100.0,151.0,22.0,33.0,25.0,"C, B, D, A",Iron,General nutrition,Old age,"Hyperglycemia, Neurofibromatosis"
"Ostrich, raw, outside strip",100.0,120.0,20.0,86.0,29.0,A,"Calcium, Magnesium, Iron",General nutrition,Old age,"Lung Cancer, Thyroid Disorders"
"Formulated bar, SNICKERS MARATHON MULTIGRAIN CRUNCH BAR, MARS SNACKFOOD US",100.0,422.0,19.0,53.0,11.0,C,Magnesium,General nutrition,All ages,"Leigh Syndrome, Sickle Cell Anemia"
"Onions, dehydrated flakes",100.0,349.0,24.0,57.0,20.0,B,"Calcium, Iron",General nutrition,Children,"Breast Cancer, Scleroderma, Dementia"
"Cake, commercially prepared, boston cream pie",100.0,252.0,1.0,6.0,10.0,"E, C, B",Magnesium,General nutrition,Old age,Cystic Fibrosis
"Pretzels, soft",100.0,338.0,47.0,30.0,25.0,"B, E, C","Magnesium, Calcium",General nutrition,Old age,"Food Allergies, Crohn's Disease, Hypothyroidism"
"Wheat flour, unenriched, bleached, 9% protein, white (industrial)",100.0,367.0,44.0,67.0,21.0,"E, A","Calcium, Iron, Zinc",General nutrition,Adults,"Gout, Sjogren's Syndrome, Hypertension"
"Salad dressing, regular, honey mustard",100.0,464.0,13.0,42.0,27.0,"D, C","Zinc, Magnesium",General nutrition,Children,"Alzheimer's Disease, HIV/AIDS, Thyroid Disorders"
"CAMPBELL'S CHUNKY Soups, Fajita Chicken with Rice & Beans Soup",100.0,53.0,48.0,14.0,24.0,"D, C, E, B","Magnesium, Zinc, Iron",General nutrition,All ages,Breast Cancer
"Cereals, with salt, cooked with water, whole wheat hot natural cereal",100.0,62.0,48.0,23.0,5.0,A,Iron,"Sustained energy, Digestive health, Blood sugar control",Old age,"Addison's Disease, Mucopolysaccharidosis"
"Beans, raw, sprouted, mature seeds, navy",100.0,67.0,10.0,70.0,4.0,D,"Calcium, Zinc",General nutrition,Adults,Alkaptonuria
"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, small end (ribs 10-12), rib",100.0,254.0,36.0,45.0,10.0,"C, E",Zinc,General nutrition,Old age,"Breast Cancer, Eczema, Hypothyroidism"
"Ground turkey, raw, 15% fat, 85% lean",100.0,180.0,43.0,51.0,4.0,"A, D, C","Zinc, Magnesium",General nutrition,Old age,Gallstones
"Ice creams, French Vanilla, No Sugar Added, BREYERS",100.0,154.0,18.0,63.0,29.0,"D, C, A, E","Iron, Calcium",General nutrition,Children,"Chronic Fatigue Syndrome, Anorexia Nervosa"
"Beef, raw, choice, trimmed to 0"" fat, separable lean only, lip off, boneless, rib eye steak",100.0,162.0,2.0,97.0,8.0,"C, B, A, E","Iron, Calcium",General nutrition,Old age,"Hepatitis, Menopause, Alkaptonuria"
